--uniqueID,zoneID,areaID,
45,85,161,
71,40,108,
78,40,920,
84,0,0,
87,12,9,
88,12,57,
97,1,135,
98,33,100,
100,85,154,
101,1519,5390,
107,1519,5390,
145,130,236,
168,1,135,
169,1,135,
171,38,38,
173,130,5386,
175,11,836,
178,267,280,
196,33,301,
197,12,57,
284,1519,5149,
286,38,923,
324,1,1,
342,12,54,
382,1519,5149,
446,8,74,
482,44,95,
523,1,5495,
562,12,87,
610,796,796,
612,796,796,
614,796,796,
682,44,69,
702,1519,5154,
704,1519,5154,
707,10,42,
708,28,3197,
710,1,131,
712,38,144,
719,85,159,
721,267,272,
802,11,150,
803,11,150,
844,8,75,
862,5287,35,
902,3,1898,
1042,47,349,
1103,33,117,
1125,1519,5704,
1205,47,355,
1446,4,2517,
1466,51,51,
1468,25,25,
1506,46,249,
1606,3,5565,
1646,45,321,
2146,0,0,
2173,1519,5150,
2175,1,1,
2214,139,139,
2216,2017,2017,
2217,2017,2017,
2387,8,8,
2412,267,1683,
2413,267,2839,
2567,28,2298,
2647,28,190,
2706,139,2627,
2707,139,2626,
2746,1519,5148,
2786,1519,5148,
3066,267,3486,
3106,267,3486,
3366,28,190,
3367,28,190,
3528,25,25,
3529,25,25,
3530,1519,5390,
3547,85,153,
3548,38,146,
3552,40,115,
3606,25,25,
3690,47,3317,
3847,25,25,
3886,33,117,
3953,45,320,
3954,45,321,
3991,85,153,
4017,10,856,
4026,1,809,
4028,85,85,
4029,5287,35,
4030,11,150,
4032,1519,5148,
4058,139,2268,
4092,12,12,
4094,12,12,
4095,12,12,
4096,12,12,
4098,1,1,
4099,1,1,
4100,85,85,
4131,41,2562,
4135,41,2562,
4189,1497,1497,
4294,139,2271,
4354,4,72,
4409,139,139,
4712,1,1,
4715,1,1,
4716,1,1,
4718,1,1,
4733,1519,5154,
4734,1519,5154,
4769,1537,5719,
4770,1537,5341,
4772,1537,5343,
4774,1537,5344,
4786,1,131,
4787,1,1,
4788,1,131,
4789,1,1,
4820,1,1,
4990,130,5456,
5127,139,4281,
5128,139,4281,
5129,139,4281,
5130,139,4281,
5131,139,4281,
5132,139,4281,
5133,139,4281,
5134,139,4281,
5135,139,4281,
5136,139,4281,
5137,139,4281,
5138,139,4281,
5374,38,142,
5375,38,142,
5376,38,142,
5377,38,142,
5537,1497,1497,
5538,1497,1497,
5569,12,12,
5703,1519,1617,
5704,1519,5148,
5710,1519,5148,
5711,1519,5148,
5712,1519,5148,
5789,4815,5051,
5807,1,133,
5817,4815,5711,
5818,4815,5711,
5819,4815,5059,
5820,4815,5059,
5821,4815,5055,
5822,4815,5054,
5823,4815,5055,
5824,4815,5059,
5825,4815,5059,
5826,4815,5059,
5827,12,89,
5828,1519,5148,
5829,12,120,
5830,12,87,
5831,1519,4411,
5853,4815,5054,
5854,4815,5051,
5855,4815,5051,
5856,4815,5030,
5857,4815,5711,
5858,4815,5054,
5859,4815,5051,
5860,4815,4953,
5861,4815,5711,
5862,4815,5711,
5866,85,155,
5874,5144,4967,
5875,5146,5144,
5877,4815,5051,
5882,5144,5089,
5883,5144,4967,
5884,5144,4967,
5899,5144,5089,
5902,4,1457,
5903,4,1457,
5912,5144,5090,
