--uniqueID,zoneID,areaID,
489#0#0,40,108,
489#1#0,40,108,
489#2#0,40,108,
489#3#0,40,108,
489#4#0,40,108,
489#5#0,40,108,
489#6#0,40,108,
489#7#0,40,108,
489#8#0,40,108,
495#0#0,10,42,
495#1#0,10,42,
495#2#0,10,42,
495#3#0,10,42,
495#4#0,10,42,
495#5#0,10,42,
522#0#0,10,243,
522#1#0,10,243,
522#2#0,10,243,
522#3#0,10,243,
522#4#0,10,492,
522#5#0,10,492,
522#6#0,10,492,
522#7#0,10,492,
522#8#0,10,492,
522#9#0,10,492,
522#10#0,10,492,
522#11#0,10,492,
522#12#0,10,492,
522#13#0,10,492,
522#14#0,10,492,
522#15#0,10,492,
522#16#0,10,492,
522#17#0,10,492,
522#18#0,10,492,
522#19#0,10,492,
522#20#0,10,492,
522#21#0,10,492,
522#22#0,10,492,
522#23#0,10,492,
522#24#0,10,492,
522#25#0,10,243,
522#26#0,10,492,
522#27#0,10,492,
522#28#0,10,492,
522#29#0,10,492,
522#30#0,10,492,
522#31#0,10,492,
522#32#0,10,243,
522#33#0,10,243,
797#0#0,12,87,
797#1#0,12,87,
797#2#0,12,87,
797#3#0,12,87,
797#4#0,12,87,
797#5#0,12,87,
797#6#0,12,87,
797#7#0,12,87,
797#8#0,12,87,
797#9#0,12,87,
797#10#0,12,87,
797#11#0,12,87,
797#12#0,12,87,
797#13#0,12,87,
797#14#0,12,87,
797#15#0,12,87,
797#16#0,12,87,
797#17#0,12,87,
797#18#0,12,87,
797#19#0,12,87,
797#20#0,12,87,
797#21#0,12,87,
797#22#0,12,87,
797#23#0,12,87,
797#24#0,12,87,
797#25#0,12,87,
797#26#0,12,87,
797#27#0,12,87,
797#28#0,12,87,
797#29#0,12,87,
797#30#0,12,87,
848#0#0,44,69,
848#1#0,44,69,
848#2#0,44,69,
848#3#0,44,68,
848#4#0,44,68,
848#5#0,44,68,
848#6#0,44,68,
848#7#0,44,69,
848#8#0,44,69,
848#9#0,44,69,
848#10#0,44,69,
848#11#0,44,69,
848#12#0,44,69,
848#13#0,44,69,
849#0#0,44,69,
849#1#0,44,69,
849#2#0,44,69,
849#3#0,44,69,
849#4#0,44,68,
849#5#0,44,68,
849#6#0,44,68,
849#7#0,44,68,
849#8#0,44,68,
849#9#0,44,69,
849#10#0,44,69,
849#11#0,44,69,
849#12#0,44,69,
849#13#0,44,69,
887#0#0,10,42,
887#1#0,10,42,
887#2#0,10,42,
887#3#0,10,42,
887#4#0,10,42,
887#5#0,10,42,
887#6#0,10,42,
887#7#0,10,42,
887#8#0,10,42,
887#9#0,10,42,
887#10#0,10,42,
934#0#0,44,69,
934#1#0,44,69,
934#2#0,44,68,
934#3#0,44,68,
934#4#0,44,68,
934#5#0,44,69,
934#6#0,44,69,
934#7#0,44,69,
934#8#0,44,69,
934#9#0,44,69,
934#10#0,44,69,
934#11#0,44,69,
934#12#0,44,69,
934#13#0,44,69,
934#14#0,44,69,
934#15#0,44,69,
934#16#0,44,69,
934#17#0,44,69,
1225#0#0,38,936,
1225#1#0,38,936,
1225#2#0,38,936,
1225#3#0,38,936,
1225#4#0,38,936,
1225#5#0,38,936,
1225#6#0,38,936,
1225#7#0,38,936,
1225#8#0,38,936,
1225#9#0,38,936,
1225#10#0,38,936,
1225#11#0,38,936,
1225#12#0,38,936,
1225#13#0,38,936,
1225#14#0,38,936,
1225#15#0,38,936,
1225#16#0,38,936,
1225#17#0,38,936,
1225#18#0,38,936,
1225#19#0,38,936,
1225#20#0,38,936,
1225#21#0,38,936,
1225#22#0,38,936,
1225#23#0,38,936,
1225#24#0,38,936,
1225#25#0,38,936,
1225#26#0,38,936,
1225#27#0,38,936,
1225#28#0,38,936,
1225#29#0,38,936,
1225#30#0,38,936,
1373#0#0,1,2102,
1373#1#0,1,2102,
1373#2#0,1,2102,
1373#3#0,1,2102,
1373#4#0,1,2102,
1373#5#0,1,2102,
1373#6#0,1,2102,
1373#7#0,1,2102,
1373#8#0,1,2102,
1373#9#0,1,2102,
1373#10#0,1,2102,
1373#11#0,1,2102,
1373#12#0,1,2102,
1373#13#0,1,2102,
1373#14#0,1,2102,
1373#15#0,1,2102,
1373#16#0,1,2102,
1373#17#0,1,2102,
1416#0#0,1519,5150,
1416#1#0,1519,5150,
1416#2#0,1519,5150,
1416#3#0,1519,5150,
1416#4#0,1519,5150,
1416#5#0,1519,5150,
1416#6#0,1519,5150,
1416#7#0,1519,5150,
1416#8#0,1519,5150,
1416#9#0,1519,5150,
1416#10#0,1519,5150,
1416#11#0,1519,5150,
1416#12#0,1519,5150,
1416#13#0,1519,5150,
1433#0#0,1519,5148,
1433#1#0,1519,5148,
1433#2#0,1519,5148,
1433#3#0,1519,5390,
1433#4#0,1519,5390,
1433#5#0,1519,5148,
1433#6#0,1519,5148,
1433#7#0,1519,5148,
1433#8#0,1519,5148,
1433#9#0,1519,5148,
1433#10#0,1519,5148,
1433#11#0,1519,5148,
1433#12#0,1519,5148,
1433#13#0,1519,5148,
1433#14#0,1519,5148,
1433#15#0,1519,5148,
1433#16#0,1519,5148,
1433#17#0,1519,5148,
1433#18#0,1519,5148,
1433#19#0,1519,5148,
1433#20#0,1519,5148,
1433#21#0,1519,5148,
1433#22#0,1519,5148,
1433#23#0,1519,5148,
1433#24#0,1519,5148,
1433#25#0,1519,5148,
1433#26#0,1519,5148,
1433#27#0,1519,5390,
1433#28#0,1519,5390,
1433#29#0,1519,5390,
1433#30#0,1519,5390,
1433#31#0,1519,5148,
1433#32#0,1519,5148,
1433#33#0,1519,5148,
1433#34#0,1519,5148,
1433#35#0,1519,5148,
1533#0#0,85,157,
1533#1#0,85,157,
1533#2#0,85,157,
1533#3#0,85,157,
1533#4#0,85,157,
1533#5#0,85,157,
1533#6#0,85,157,
1533#7#0,85,157,
1533#8#0,85,157,
1533#9#0,85,157,
1533#10#0,85,157,
1533#11#0,85,157,
1533#12#0,85,157,
1533#13#0,85,157,
1533#14#0,85,157,
1533#15#0,85,157,
1533#16#0,85,157,
1533#17#0,85,157,
1533#18#0,85,157,
1533#19#0,85,157,
1533#20#0,85,157,
1533#21#0,85,157,
1533#22#0,85,157,
1533#23#0,85,157,
1533#24#0,85,157,
1533#25#0,85,157,
1533#26#0,85,157,
1533#27#0,85,157,
1533#28#0,85,157,
1533#29#0,85,157,
1533#30#0,85,157,
1533#31#0,85,157,
1533#32#0,85,157,
1533#33#0,85,157,
1533#34#0,85,157,
1533#35#0,85,157,
1533#36#0,85,157,
1654#0#0,85,157,
1654#1#0,85,157,
1654#2#0,85,157,
1654#3#0,85,157,
1654#4#0,85,157,
1654#5#0,85,157,
1654#6#0,85,157,
1654#7#0,85,157,
1654#8#0,85,157,
1654#9#0,85,157,
1654#10#0,85,157,
1654#11#0,85,157,
1654#12#0,85,157,
1654#13#0,85,157,
1654#14#0,85,157,
1654#15#0,85,157,
1654#16#0,85,157,
1654#17#0,85,157,
1654#18#0,85,157,
1654#19#0,85,157,
1654#20#0,85,157,
1654#21#0,85,157,
1654#22#0,85,157,
1654#23#0,85,157,
1654#24#0,85,157,
1654#25#0,85,157,
1654#26#0,85,157,
1654#27#0,85,157,
1654#28#0,85,157,
1654#29#0,85,157,
1654#30#0,85,157,
1654#31#0,85,157,
1654#32#0,85,157,
1655#0#0,85,157,
1655#1#0,85,157,
1655#2#0,85,157,
1655#3#0,85,157,
1655#4#0,85,157,
1655#5#0,85,157,
1655#6#0,85,157,
1655#7#0,85,157,
1655#8#0,85,157,
1655#9#0,85,157,
1655#10#0,85,157,
1655#11#0,85,157,
1655#12#0,85,157,
1655#13#0,85,157,
1655#14#0,85,157,
1655#15#0,85,157,
1655#16#0,85,157,
1655#17#0,85,157,
1655#18#0,85,157,
1655#19#0,85,157,
1655#20#0,85,157,
1655#21#0,85,157,
1655#22#0,85,157,
1655#23#0,85,157,
1655#24#0,85,157,
1655#25#0,85,157,
1655#26#0,85,157,
1656#0#0,85,157,
1656#1#0,85,157,
1656#2#0,85,157,
