--uniqueID,zoneID,areaID,
2,4709,4849,
19,16,1220,
21,12,87,
24,3557,3557,
27,3,5565,
28,490,538,
29,616,4984,
30,46,2420,
31,141,736,
34,44,68,
36,331,414,
37,400,400,
41,3487,3487,
42,4197,4575,
44,4,1438,
45,17,1699,
46,4197,4575,
47,65,4256,
48,490,1942,
49,67,4495,
53,490,4884,
55,400,400,
56,215,404,
57,148,448,
58,267,286,
60,15,518,
61,490,538,
62,331,4716,
63,85,157,
64,17,381,
65,12,54,
67,17,392,
71,11,1036,
72,440,1939,
76,490,1942,
80,12,60,
82,440,980,
83,28,193,
84,331,441,
87,4709,4845,
91,148,4661,
96,139,2262,
98,46,5652,
100,40,922,
102,331,331,
103,618,2241,
105,400,5025,
108,44,68,
110,405,405,
112,51,51,
114,12,61,
115,141,264,
118,33,106,
119,490,543,
124,440,983,
126,490,4885,
129,4813,4813,
141,14,14,
143,65,4256,
144,16,1220,
145,406,406,
146,490,490,
149,12,12,
150,361,361,
156,210,4496,
159,490,490,
161,4273,4273,
162,12,60,
163,12,120,
167,4709,4850,
168,12,18,
169,65,4256,
170,65,4256,
174,65,4256,
177,331,414,
181,331,331,
182,490,4883,
185,331,331,
188,17,5117,
191,65,4256,
193,148,443,
195,331,422,
197,65,4256,
199,17,5117,
200,10,245,
201,15,509,
204,47,1885,
207,490,1943,
211,331,441,
212,400,2097,
213,148,2078,
215,11,118,
216,4197,4575,
218,400,400,
221,331,412,
225,141,141,
226,14,369,
227,14,14,
228,85,162,
229,148,2077,
231,215,215,
234,490,538,
235,267,281,
236,85,164,
237,4709,4845,
238,65,4256,
245,148,148,
246,47,1885,
248,3,346,
249,40,107,
252,85,85,
254,40,2,
260,490,4884,
261,3456,3456,
262,361,1766,
263,4709,4854,
268,4709,4853,
271,11,150,
272,490,4884,
283,490,539,
284,47,356,
285,44,98,
287,215,404,
288,405,405,
289,5917,5917,
290,440,988,
292,405,4797,
295,215,820,
296,616,4984,
297,440,983,
298,616,4991,
302,1,808,
303,65,4256,
305,45,317,
308,267,275,
309,4197,4575,
310,490,539,
311,85,168,
312,440,2300,
313,267,279,
314,4709,4709,
316,4197,4575,
317,51,1443,
320,618,2241,
321,1,1,
323,400,5025,
329,148,4661,
333,14,363,
334,14,816,
335,4709,4709,
338,210,4496,
340,210,4496,
343,405,607,
344,4709,4845,
346,46,46,
347,148,148,
348,14,14,
349,51,1443,
352,406,461,
353,28,28,
355,490,1942,
357,4273,4273,
358,215,360,
362,405,596,
363,1,134,
364,4820,4820,
365,16,4814,
366,406,467,
367,267,1682,
368,4273,4273,
369,51,1443,
371,130,927,
372,400,400,
378,14,14,
379,1,134,
387,1,1,
389,47,354,
392,331,331,
395,440,440,
396,490,490,
397,46,46,
398,618,2249,
403,65,4256,
405,406,4930,
407,1537,5344,
408,40,40,
409,490,540,
410,14,817,
418,210,4862,
421,331,2457,
422,33,106,
430,14,368,
435,331,1276,
438,17,17,
439,490,4885,
440,618,2249,
442,5339,33,
445,4709,5385,
448,406,406,
452,15,15,
454,14,14,
459,215,215,
462,1497,1497,
463,1,1,
469,148,2078,
473,490,4885,
477,4197,4575,
478,4197,4575,
483,51,1443,
484,16,1237,
485,40,113,
486,618,2248,
488,1,136,
489,17,17,
491,40,2,
492,17,386,
493,1637,5171,
495,4709,4709,
498,4197,4575,
499,15,501,
500,331,1276,
501,267,282,
502,3537,4111,
504,3537,3537,
505,4709,4850,
506,46,5677,
507,141,141,
508,46,249,
509,47,47,
510,618,2251,
511,148,443,
513,400,5025,
515,400,482,
516,4709,4850,
518,3537,3537,
519,4197,4575,
521,17,17,
522,331,429,
528,5287,1577,
532,3606,3606,
533,45,45,
534,45,45,
537,400,5025,
538,400,5025,
540,440,978,
545,405,607,
546,400,5025,
549,4197,4575,
550,28,193,
551,44,95,
552,490,543,
557,3,5525,
565,141,141,
567,141,264,
569,1,134,
571,4,72,
572,4,72,
573,331,4715,
575,4709,4709,
576,331,414,
580,1638,1639,
582,4709,4709,
583,406,4930,
584,406,4930,
585,51,51,
586,44,97,
588,66,4325,
589,3430,3533,
590,141,259,
592,28,193,
597,331,420,
598,45,317,
600,490,4885,
603,51,51,
604,4273,4273,
605,1,802,
608,331,426,
611,1519,5409,
613,4709,4709,
614,495,495,
615,215,220,
622,215,821,
624,4395,4739,
628,3537,4111,
629,15,15,
631,47,350,
633,267,288,
639,440,440,
644,148,148,
649,46,254,
653,40,40,
656,46,255,
660,12,12,
663,495,495,
664,495,495,
666,361,5676,
667,38,936,
669,16,1234,
678,440,440,
681,46,46,
682,331,435,
683,490,542,
687,85,85,
689,400,481,
690,495,4066,
691,12,86,
695,490,1942,
696,11,118,
699,11,118,
700,3,5322,
701,490,539,
704,4709,4709,
708,4709,4709,
709,490,4885,
711,3537,3537,
714,331,2457,
716,3537,3537,
718,3537,3537,
719,11,1036,
721,11,1036,
722,14,2979,
725,45,328,
726,361,2618,
735,14,369,
740,3537,4111,
741,10,93,
742,10,536,
744,5339,33,
753,11,11,
757,45,45,
