--uniqueID,zoneID,areaID,
17#1,1583,1583,
17#2,1583,1583,
17#3,1583,1583,
17#4,1583,1583,
17#5,1583,1583,
17#6,1583,1583,
17#7,1583,1583,
17#8,1583,1583,
17#9,1583,1583,
17#10,1583,1583,
17#11,1583,1583,
17#12,1583,1583,
17#13,1583,1583,
17#14,1583,1583,
17#15,1583,1583,
17#16,1583,1583,
17#17,1583,1583,
17#18,1583,1583,
17#19,1583,1583,
17#20,1583,1583,
17#21,1583,1583,
17#22,1583,1583,
17#23,1583,1583,
17#24,1583,1583,
17#25,1583,1583,
17#26,1583,1583,
17#27,1583,1583,
17#28,1583,1583,
17#29,1583,1583,
17#30,1583,1583,
17#31,1583,1583,
17#32,1583,1583,
17#33,1583,1583,
17#34,1583,1583,
17#35,1583,1583,
17#36,1583,1583,
17#37,1583,1583,
17#38,1583,1583,
17#39,1583,1583,
17#40,1583,1583,
17#41,1583,1583,
554#1,3845,3845,
554#2,3845,3845,
554#3,3845,3845,
554#4,3845,3845,
554#5,3845,3845,
554#6,3845,3845,
554#7,3845,3845,
554#8,3845,3845,
554#9,3845,3845,
554#10,3845,3845,
554#11,3845,3845,
554#12,3845,3845,
554#13,3845,3845,
554#14,3845,3845,
554#15,3845,3845,
554#16,3845,3845,
1007#1,3520,3520,
1007#2,3520,3520,
1007#3,3520,3520,
1007#4,3520,3520,
1007#5,3520,3520,
1007#6,3520,3520,
1007#7,3520,3520,
1007#8,3520,3520,
1007#9,3520,3520,
1007#10,3520,3520,
1007#11,3520,3520,
1007#12,3520,3520,
1007#13,3520,3520,
1007#14,3520,3520,
1007#15,3520,3520,
1007#16,3520,3520,
1007#17,3520,3520,
1007#18,3520,3520,
1007#19,3520,3520,
1007#20,3520,3520,
1007#21,3520,3520,
1007#22,3520,3520,
1007#23,3520,3520,
1007#24,3520,3520,
1007#25,3520,3520,
1007#26,3520,3520,
1007#27,3520,3520,
1007#28,3520,3520,
1007#29,3520,3520,
1007#30,3520,3520,
1007#31,3520,3520,
1007#32,3520,3520,
1007#33,3520,3520,
1007#34,3520,3520,
1007#35,3520,3520,
1007#36,3520,3520,
1007#37,3520,3520,
