--uniqueID,zoneID,areaID,
1533#1#26057200,85,157,
1533#2#26057200,85,157,
1533#3#26057200,85,157,
1533#4#26057200,85,157,
1533#5#26057200,85,157,
1533#6#26057200,85,157,
1533#7#26057200,85,157,
1533#8#26057200,85,157,
1533#9#26057200,85,157,
1533#10#26057200,85,157,
1533#11#26057200,85,157,
1533#12#26057200,85,157,
1533#13#26057200,85,157,
1533#14#26057200,85,157,
1533#15#26057200,85,157,
1533#16#26057200,85,157,
1533#17#26057200,85,157,
1533#18#26057200,85,157,
1533#19#26057200,85,157,
1533#20#26057200,85,157,
1533#21#26057200,85,157,
1533#22#26057200,85,157,
1533#23#26057200,85,157,
1738#1#26143840,85,159,
1738#2#26143840,85,159,
1738#3#26143840,85,159,
1738#4#26143840,85,85,
1738#5#26143840,85,85,
1738#6#26143840,85,85,
1738#7#26143840,85,85,
1738#8#26143840,85,85,
1738#9#26143840,85,85,
1738#10#26143840,85,85,
1738#11#26143840,85,85,
1738#12#26143840,85,85,
1738#13#26143840,85,85,
1738#14#26143840,85,85,
1738#15#26143840,85,85,
1738#16#26143840,85,85,
1738#17#26143840,85,85,
1738#18#26143840,85,85,
1738#19#26143840,85,85,
1738#20#26143840,85,85,
1738#21#26143840,85,85,
1738#22#26143840,85,159,
1738#23#26143840,85,159,
1738#24#26143840,85,159,
1742#1#26111520,85,159,
1742#2#26111520,85,159,
1742#3#26111520,85,159,
1742#4#26111520,85,159,
1742#5#26111520,85,159,
1742#6#26111520,85,159,
1742#7#26111520,85,159,
1742#8#26111520,85,159,
1742#9#26111520,85,159,
1742#10#26111520,85,159,
1742#11#26111520,85,159,
1742#12#26111520,85,159,
1742#13#26111520,85,159,
1742#14#26111520,85,159,
1742#15#26111520,85,159,
1742#16#26111520,85,159,
1742#17#26111520,85,159,
1742#18#26111520,85,159,
1742#19#26111520,85,159,
1742#20#26111520,85,159,
1742#21#26111520,85,159,
1742#22#26111520,85,159,
1742#23#26111520,85,159,
1742#24#26111520,85,159,
1742#25#26111520,85,159,
1742#26#26111520,85,159,
1742#27#26111520,85,159,
1742#28#26111520,85,159,
1742#29#26111520,85,159,
1742#30#26111520,85,159,
1742#31#26111520,85,159,
1742#32#26111520,85,159,
1742#33#26111520,85,159,
1742#34#26111520,85,159,
1742#35#26111520,85,159,
1742#36#26111520,85,159,
1742#37#26111520,85,159,
1742#38#26111520,85,159,
1742#39#26111520,85,159,
1742#40#26111520,85,159,
2314#1#26111360,85,159,
2314#2#26111360,85,159,
2314#3#26111360,85,159,
2314#4#26111360,85,159,
2314#5#26111360,85,159,
2314#6#26111360,85,159,
2314#7#26111360,85,159,
2314#8#26111360,85,159,
2314#9#26111360,85,159,
2314#10#26111360,85,159,
2314#11#26111360,85,159,
2314#12#26111360,85,159,
2314#13#26111360,85,159,
2314#14#26111360,85,159,
2314#15#26111360,85,159,
2314#16#26111360,85,159,
2314#17#26111360,85,159,
2314#18#26111360,85,159,
2314#19#26111360,85,159,
2314#20#26111360,85,159,
2314#21#26111360,85,159,
2314#22#26111360,85,159,
2314#23#26111360,85,159,
2314#24#26111360,85,159,
2314#25#26111360,85,159,
2314#26#26111360,85,159,
2314#27#26111360,85,159,
2314#28#26111360,85,159,
2314#29#26111360,85,159,
2314#30#26111360,85,159,
2314#31#26111360,85,159,
2314#32#26111360,85,159,
2314#33#26111360,85,159,
3547#1#26092640,85,159,
3547#2#26092640,85,159,
3547#3#26092640,85,159,
3547#4#26092640,85,159,
3547#5#26092640,85,159,
3547#6#26092640,85,159,
3547#7#26092640,85,159,
3547#8#26092640,85,159,
3547#9#26092640,85,159,
3547#10#26092640,85,159,
3547#11#26092640,85,159,
3547#12#26092640,85,159,
3547#13#26092640,85,159,
3547#14#26092640,85,159,
3547#15#26092640,85,159,
3547#16#26092640,85,159,
3547#17#26092640,85,159,
3547#18#26092640,85,159,
3547#19#26092640,85,159,
3547#20#26092640,85,159,
3547#21#26092640,85,159,
3547#22#26092640,85,159,
3547#23#26092640,85,159,
3547#24#26092640,85,159,
3547#25#26092640,85,159,
3547#26#26092640,85,159,
3547#27#26092640,85,159,
3547#28#26092640,85,159,
3547#29#26092640,85,159,
3547#30#26092640,85,159,
3547#31#26092640,85,159,
3547#32#26092640,85,159,
3547#33#26092640,85,159,
3547#34#26092640,85,159,
3547#35#26092640,85,159,
3547#36#26092640,85,159,
3547#37#26092640,85,159,
3547#38#26092640,85,159,
3547#39#26092640,85,159,
3562#1#24933680,1657,1661,
3562#2#24933680,1657,1657,
3562#3#24933680,1657,1657,
3562#4#24933680,1657,1657,
3562#5#24933680,1657,1657,
3562#6#24933680,1657,1657,
3562#7#24933680,1657,1657,
3562#8#24933680,1657,1657,
3562#9#24933680,1657,1657,
3562#10#24933680,1657,1657,
3562#11#24933680,1657,1657,
3562#12#24933680,1657,1657,
3562#13#24933680,1657,1657,
3562#14#24933680,1657,1657,
3562#15#24933680,1657,1657,
3562#16#24933680,1657,1657,
3562#17#24933680,1657,1657,
3562#18#24933680,1657,1657,
3562#19#24933680,1657,1657,
3562#20#24933680,1657,1657,
3562#21#24933680,1657,1657,
3562#22#24933680,1657,1657,
3562#23#24933680,1657,1657,
3562#24#24933680,1657,1657,
3562#25#24933680,1657,1657,
3562#26#24933680,1657,1657,
3562#27#24933680,1657,1657,
3562#28#24933680,1657,1657,
3562#29#24933680,1657,1657,
3562#30#24933680,1657,1657,
3562#31#24933680,1657,1657,
3562#32#24933680,1657,1657,
3562#33#24933680,1657,1657,
3562#34#24933680,1657,1657,
3562#35#24933680,1657,1657,
3562#36#24933680,1657,1657,
3562#37#24933680,1657,1657,
3562#38#24933680,1657,1657,
3562#39#24933680,1657,1657,
3562#40#24933680,1657,1657,
3562#41#24933680,1657,1657,
3562#42#24933680,1657,1657,
3562#43#24933680,1657,1657,
3562#44#24933680,1657,1657,
3562#45#24933680,1657,1657,
3562#46#24933680,1657,1657,
3562#47#24933680,1657,1657,
3562#48#24933680,1657,1657,
3562#49#24933680,1657,1657,
3562#50#24933680,1657,1657,
3562#51#24933680,1657,1657,
3562#52#24933680,1657,1657,
3562#53#24933680,1657,1657,
3562#54#24933680,1657,1657,
3562#55#24933680,1657,1657,
3562#56#24933680,1657,1657,
3562#57#24933680,1657,1657,
3562#58#24933680,1657,1657,
3562#59#24933680,1657,1657,
3562#60#24933680,1657,1657,
3562#61#24933680,1657,1657,
3562#62#24933680,1657,1657,
3562#63#24933680,1657,1657,
3562#64#24933680,1657,1657,
3562#65#24933680,1657,1657,
3562#66#24933680,1657,1657,
3562#67#24933680,1657,1657,
3562#68#24933680,1657,1657,
3562#69#24933680,1657,1657,
3562#70#24933680,1657,1657,
3562#71#24933680,1657,1657,
3562#72#24933680,1657,1657,
