--uniqueID,zoneID,areaID,
5,141,188,
13,66,4320,
14,66,4320,
15,210,210,
16,210,4508,
17,1583,1583,
18,210,4522,
20,1583,1583,
21,1583,1583,
22,1583,1583,
23,1583,1583,
24,67,4446,
25,210,4658,
46,495,495,
78,3537,4035,
79,3537,4035,
80,3537,4035,
116,3715,3715,
118,3715,3715,
120,3715,3715,
130,3519,3674,
153,210,4526,
154,3522,3522,
155,210,4526,
158,65,4180,
168,3522,3778,
183,65,4180,
297,3518,3623,
298,3487,3487,
299,3519,3893,
300,3521,3649,
301,3518,3615,
308,3715,3715,
317,3715,3715,
320,3715,3715,
366,3520,3520,
367,3520,3926,
368,3520,3926,
369,3520,3926,
370,3520,3926,
371,3520,3926,
372,3520,3926,
373,3520,3926,
374,3520,3926,
375,3520,3926,
425,3715,3715,
452,3715,3715,
453,66,4322,
454,66,4322,
455,66,4322,
456,66,4322,
457,66,4322,
458,66,4322,
459,66,4322,
460,66,4322,
461,66,4322,
462,66,4322,
463,66,4322,
464,66,4322,
465,66,4322,
466,66,4322,
467,66,4322,
468,66,4322,
469,66,4322,
470,66,4322,
471,66,4322,
472,66,4322,
473,66,4322,
474,66,4322,
475,66,66,
476,66,66,
477,66,4322,
478,66,4322,
479,66,66,
480,66,4322,
481,66,4322,
482,66,4322,
483,66,4322,
484,66,4322,
485,66,4322,
486,66,4322,
502,3715,3715,
518,66,4275,
519,3524,3580,
520,3557,3557,
521,3557,3557,
522,3557,3557,
523,3557,3557,
524,3557,3557,
525,3557,3557,
526,3524,3576,
527,3524,3527,
528,3524,3527,
529,3524,3527,
530,3524,3527,
531,3524,3527,
532,3524,3576,
533,3557,3557,
534,3557,3557,
535,3557,3557,
536,394,4216,
537,394,4216,
538,394,4216,
539,394,4216,
540,394,4216,
541,394,4216,
542,394,4216,
543,394,4216,
544,394,4216,
545,394,4216,
546,394,4216,
547,394,4216,
548,394,4216,
554,3845,3845,
566,4080,4090,
567,4080,4091,
661,210,4862,
662,210,4862,
663,210,4862,
684,4080,4089,
769,33,105,
950,4080,4092,
984,4080,4087,
1007,3520,3520,
1011,3520,3938,
1054,3520,3520,
1070,210,4522,
1102,3487,3487,
1115,210,4522,
1117,3520,3943,
1158,210,4522,
1162,210,4522,
1215,2557,2557,
1237,2557,2557,
1312,2557,2557,
1317,2557,2557,
1345,2557,2557,
1361,2557,2557,
1369,2557,2557,
1374,2557,2557,
1377,2557,2557,
1382,2557,2557,
1383,2557,2557,
1392,2557,2557,
1395,2557,2557,
1448,3522,3775,
1449,3537,4124,
1550,3715,3715,
1551,3968,3968,
1552,3715,3715,
1554,3715,3715,
1555,3715,3715,
1557,3715,3715,
1559,3715,3715,
1560,3715,3715,
1561,3715,3715,
1636,4812,4812,
1665,2557,2557,
1723,3715,3715,
1727,3522,3778,
1730,65,4180,
1731,65,4180,
1736,65,4186,
1737,65,4180,
1741,3715,3715,
1742,3715,3715,
1768,1,1,
1789,2817,4553,
1790,4395,4613,
1792,1537,4679,
1820,3968,3968,
1822,3968,3968,
1823,4395,4560,
1881,1584,1584,
1885,2367,2367,
1886,3557,3557,
1947,2557,2557,
2017,3537,4123,
2070,3433,3507,
2072,3703,3703,
2080,3715,3715,
2090,3715,3715,
2093,3715,3715,
2095,3522,3832,
2097,3522,3832,
2099,3522,3832,
2115,3703,3899,
2126,3703,3899,
2196,3703,3703,
2212,3521,3667,
2349,3524,3573,
2350,3524,3573,
2351,3524,3573,
2352,3524,3573,
2353,3524,3573,
2354,3524,3573,
2355,3524,3573,
2356,3524,3573,
2357,3524,3573,
2358,3524,3573,
2359,3524,3573,
2360,3524,3573,
2499,141,141,
2554,3521,3667,
2577,3521,3667,
2588,3521,3521,
2593,67,4422,
2606,3521,3645,
3137,67,4592,
3224,3522,3778,
3225,3522,3778,
3239,67,4592,
3243,67,4592,
3246,67,4592,
3248,3521,3649,
3255,67,4592,
3257,67,4592,
3258,67,4592,
3261,67,4592,
3262,67,4592,
3413,495,3999,
3414,3518,3623,
3453,3715,3715,
3466,1637,5168,
3484,3522,3771,
3485,3522,3782,
3486,3522,3771,
3487,3522,3771,
3488,3522,3772,
3489,3522,3771,
3490,3522,3771,
3491,3522,3771,
3492,3487,3487,
3493,3487,3487,
3494,3487,3487,
3495,3430,3430,
3496,3430,3430,
3497,3430,3430,
3498,3430,3430,
3499,3430,3430,
3500,3430,3471,
3501,3430,3471,
3502,3430,3471,
3503,3430,3471,
3504,3430,3430,
3505,3430,3430,
3506,3430,3914,
3507,3518,3518,
3508,3518,3518,
3509,3518,3518,
3510,3518,3631,
3511,3518,3631,
3512,3518,3518,
3513,3518,3631,
3514,3518,3631,
3515,3518,3518,
3516,3518,3518,
3517,3518,3518,
3518,3518,3518,
3519,3518,3518,
3520,3518,3518,
3521,3518,3518,
3522,3518,3518,
3523,3518,3518,
3524,3518,3518,
3525,3518,3518,
3526,3518,3518,
3527,3518,3518,
3528,3518,3518,
3529,3518,3518,
3530,3518,3518,
3531,3524,3524,
3532,3524,3524,
3533,3524,3526,
3534,3524,3916,
3535,3524,3524,
3536,3524,3524,
3537,3524,3524,
3538,3524,3524,
3539,3524,3524,
3540,3524,3524,
3541,3524,3916,
3542,3524,3524,
3543,3524,3916,
3544,3524,3524,
3545,3524,3524,
3546,3524,3916,
3547,3524,3524,
3548,67,4432,
3551,67,4592,
3552,67,4592,
3554,67,4592,
3558,67,4592,
3565,67,4592,
3566,67,4592,
3567,67,4592,
3570,67,4592,
3573,67,4592,
3574,67,4592,
3578,67,4592,
3583,67,4592,
3641,3715,3715,
3647,3522,3832,
3828,15,513,
4068,3522,3784,
4089,67,4436,
4090,67,4436,
4094,3522,3832,
4099,3522,3832,
4147,1,803,
4148,1,803,
4149,1,803,
4150,1,803,
4151,1,803,
4152,1,803,
4153,1,803,
4154,1,803,
4155,1,803,
4156,1,803,
4222,3519,3696,
4223,66,4468,
4224,66,4315,
4225,66,4315,
4226,66,4315,
4227,66,4315,
4228,66,4315,
4229,66,4315,
4230,66,4315,
4231,66,4315,
4232,66,4313,
4233,66,4313,
4234,66,4313,
4235,66,4313,
4236,66,4313,
4237,66,4313,
4238,66,4313,
4239,66,4313,
4240,66,4313,
4241,66,4313,
4242,66,4313,
4243,66,4313,
4244,66,4313,
4245,66,4313,
4246,66,4468,
4247,66,4313,
4248,66,4313,
4249,66,4313,
4250,66,4469,
4251,66,4468,
4252,66,4468,
4253,66,4468,
4254,66,4468,
4255,66,4468,
4256,66,4468,
4257,66,4469,
4258,66,4468,
4259,66,4315,
4260,66,4468,
4261,66,4468,
4262,66,4468,
4263,66,4468,
4264,66,4468,
4265,66,4468,
4266,66,4468,
4267,66,4468,
4268,66,4468,
4269,66,4468,
4270,66,4468,
4271,66,4468,
4272,66,4468,
4273,66,4468,
4274,66,4469,
4275,66,4468,
4276,66,4468,
4277,66,4468,
4278,66,4468,
4279,66,4468,
4280,66,4468,
4281,66,4468,
4282,66,4468,
4283,66,4468,
4284,66,4468,
4285,66,4313,
4286,66,4313,
4287,66,4313,
4288,66,4468,
4289,66,4468,
4290,66,4468,
4291,66,4468,
4292,66,4315,
4293,66,4315,
4294,66,4315,
4295,66,4315,
4296,66,4468,
4297,66,4468,
4298,66,4468,
4299,66,4468,
4300,66,4468,
4301,66,4468,
4302,66,4468,
4303,66,4468,
4304,66,4468,
4305,66,4468,
4306,66,4468,
4307,66,4468,
4308,66,4468,
4309,66,4468,
4310,66,4468,
4311,66,4468,
4312,66,4468,
4313,66,4468,
4314,66,4468,
4315,66,4468,
4316,66,4468,
4317,66,4468,
4318,66,4468,
4319,66,4468,
4320,66,4468,
4321,66,4468,
4322,66,4468,
4323,66,4468,
4324,66,4468,
4325,66,4468,
4326,66,4468,
4327,66,4468,
4328,66,4468,
4329,66,4468,
4330,66,4468,
4331,66,4468,
4332,66,4468,
4333,66,4468,
4334,66,4468,
4335,66,4468,
4336,66,4468,
4337,66,4468,
4338,66,4468,
4339,66,4468,
4340,66,4468,
4341,66,4468,
4342,66,4468,
4343,66,4468,
4344,66,4468,
4345,66,4468,
4346,66,4468,
4347,66,4468,
4348,66,4468,
4349,66,4468,
4350,66,4468,
4351,66,4468,
4352,66,4468,
4353,66,4468,
4354,66,4468,
4355,66,4468,
4356,66,4468,
4357,66,4468,
4358,66,4468,
4359,66,4468,
4360,66,4468,
4361,66,4468,
4362,66,4468,
4363,66,4468,
4364,66,4468,
4365,66,4468,
4366,66,4468,
4367,66,4468,
4368,66,4468,
4369,66,4468,
4370,66,4468,
4371,66,4468,
4372,66,4468,
4373,66,4468,
4374,66,4468,
4375,66,4468,
4376,66,4468,
4377,66,4468,
4378,66,4468,
4379,66,4468,
4380,66,4468,
4381,66,4468,
4382,66,4468,
4383,66,4468,
4384,66,4468,
4385,66,4468,
4386,66,4468,
4387,66,4468,
4388,66,4468,
4389,66,4468,
4390,66,4468,
4391,66,4468,
4392,66,4468,
4393,66,4468,
4394,66,4468,
4395,66,4468,
4396,66,4468,
4397,66,4468,
4398,66,4468,
4399,66,4468,
4400,66,4468,
4401,66,4468,
4402,66,4468,
4403,66,4468,
4404,66,4468,
4405,66,4468,
4406,66,4468,
4407,66,4468,
4408,66,4468,
4409,66,4468,
4410,66,4315,
4411,66,4468,
4412,66,4468,
4413,66,4468,
4414,66,4468,
4415,66,4468,
4416,66,4468,
4417,66,4468,
4418,66,4468,
4419,66,4313,
4420,66,4489,
4421,66,4468,
4422,66,4468,
4423,66,4468,
4424,66,4468,
4425,66,4468,
4426,66,4315,
4427,66,4315,
4428,66,4468,
4429,66,4468,
4430,66,4468,
4431,66,4468,
4432,66,4468,
4458,3428,3428,
4761,4395,4395,
4763,210,4497,
4764,4265,4265,
4765,67,4436,
4801,3522,3828,
4802,3522,3828,
4803,3522,3828,
4804,3522,3828,
4805,3522,3828,
4806,3522,3828,
4807,3522,3828,
4808,3522,3828,
4809,3522,3828,
4810,3522,3828,
4811,3522,3828,
4812,3524,3524,
4813,3524,3524,
4814,3524,3524,
4815,3524,3526,
4816,3524,3559,
4817,3524,3561,
4818,3524,3915,
4819,3524,3524,
4820,3524,3524,
4821,3524,3524,
4822,3524,3916,
4823,3524,3524,
4824,3524,3524,
4825,3524,3524,
4826,3524,3916,
4827,3524,3524,
6090,3519,3519,
6095,67,4436,
6096,67,4436,
6294,3521,3521,
6337,67,4502,
6439,3715,3715,
6499,2817,4555,
6627,2817,4555,
6747,616,616,
6998,2367,2370,
7202,3518,3614,
7400,3959,3959,
7458,3703,3703,
7483,3923,3923,
7630,2817,4555,
7727,3519,3519,
7744,3519,3681,
7745,3519,3681,
7746,3519,3681,
7747,3519,3681,
7748,3519,3681,
7749,3519,3681,
7750,3519,3681,
7751,3519,3681,
7752,3519,3681,
7753,3519,3681,
7754,3519,3681,
7755,3519,3681,
7756,3519,3681,
7757,3519,3681,
7758,3519,3681,
7759,3519,3681,
7760,3519,3681,
7761,3519,3681,
7762,3519,3681,
7763,3519,3681,
7764,3519,3519,
7978,3524,3527,
7987,3845,3845,
8025,3522,3782,
8026,3522,3782,
8027,3522,3782,
8028,3522,3771,
8029,3522,3771,
8030,3518,3762,
8031,3518,3518,
8032,3518,3762,
8033,3519,3519,
8034,3519,3519,
8035,3519,3519,
8036,3519,3519,
8037,3519,3860,
8038,3519,3519,
8039,3519,3519,
8040,3519,3519,
8041,3519,3519,
8042,3519,3519,
8043,3519,3519,
8044,3519,3885,
8045,3519,3885,
8046,3519,3519,
8047,3519,3519,
8048,3519,3519,
8049,3519,3519,
8050,3519,3519,
8051,3519,3674,
8052,3519,3519,
8053,3519,3679,
8054,3518,3518,
8055,3518,3760,
8056,3518,3518,
8057,3518,3518,
8058,3518,3762,
8059,3518,3762,
8060,3518,3518,
8061,3518,3518,
8062,3518,3518,
8063,3518,3518,
8064,3518,3518,
8065,3518,3518,
8066,3518,3518,
8067,3518,3518,
8068,3518,3518,
8069,3518,3518,
8070,3518,3518,
8071,3518,3518,
8072,3518,3518,
8073,3518,3518,
8074,3518,3518,
8075,3518,3518,
8076,3518,3518,
8077,3518,3518,
8078,3518,3518,
8079,3518,3518,
8080,3518,3518,
8081,3518,3518,
8082,3518,3518,
8083,3518,3622,
8084,3518,3518,
8085,3518,3518,
8086,3518,3518,
8087,3518,3518,
8088,3518,3666,
8089,3518,3518,
8090,3518,3629,
8091,3518,3518,
8092,3518,3629,
8093,3518,3518,
8094,3518,3518,
8095,3518,3518,
8096,3518,3705,
8097,3518,3518,
8098,3518,3518,
8099,3518,3518,
8100,3518,3518,
8101,3518,3638,
8102,3518,3518,
8103,3518,3518,
8104,3518,3518,
8105,3518,3518,
8106,3518,3518,
8107,3518,3518,
8108,3518,3518,
8109,3518,3518,
8110,3518,3518,
8111,3518,3518,
8112,3518,3518,
8113,3518,3518,
8114,3518,3518,
8115,3518,3518,
8116,3518,3518,
8117,3518,3518,
8118,3518,3518,
8119,3518,3518,
8120,3518,3518,
8121,3518,3518,
8122,3518,3518,
8123,3518,3518,
8124,3518,3518,
8125,3518,3518,
8126,3518,3518,
8127,3518,3518,
8128,3518,3518,
8129,3518,3518,
8130,3518,3617,
8131,3518,3518,
8132,3518,3518,
8133,3518,3518,
8134,3518,3518,
8135,3518,3518,
8136,3518,3518,
8137,3518,3518,
8138,3518,3518,
8139,3518,3518,
8140,3518,3518,
8141,3518,3518,
8142,3518,3518,
8143,3433,3433,
8144,3433,3433,
8145,3433,3503,
8146,3433,3503,
8147,3433,3503,
8148,3433,3433,
8149,3524,3529,
8150,3524,3559,
8151,3524,3560,
8152,3524,3524,
8153,3524,3524,
8154,3524,3524,
8155,3524,3524,
8156,3524,3524,
8157,3524,3524,
8158,3524,3916,
8159,3524,3524,
8160,3524,3524,
8161,3524,3524,
8162,3524,3916,
8163,3524,3524,
8164,3524,3524,
8165,3524,3524,
8311,3521,3521,
8313,3703,3899,
8553,3518,3518,
8554,3518,3518,
8555,3430,3430,
8556,3430,3430,
8557,3430,3430,
8558,3430,3473,
8559,3430,3473,
8560,3430,3430,
8561,3430,3430,
8562,3430,3430,
8563,3518,3518,
8564,3518,3634,
8565,3518,3634,
8566,3518,3634,
8567,3518,3634,
8568,3518,3634,
8569,3518,3634,
8570,3518,3518,
8571,3518,3518,
8572,3518,3518,
8573,3518,3518,
8574,3518,3518,
8575,3518,3518,
8576,3518,3518,
8577,3518,3621,
8578,3518,3621,
8579,3518,3622,
8580,3518,3621,
8581,3518,3621,
8582,3518,3621,
8583,3518,3621,
8584,3518,3621,
8585,3518,3621,
8586,3518,3621,
8587,3518,3621,
8588,3518,3518,
8589,3518,3666,
8590,3518,3666,
8591,3518,3666,
8592,3518,3666,
8593,3518,3666,
8594,3518,3518,
8595,3518,3518,
8596,3518,3518,
8597,3518,3705,
8598,3518,3705,
8599,3518,3518,
8600,3518,3611,
8601,3518,3518,
8602,3518,3518,
8603,3518,3518,
8604,3518,3614,
8605,3518,3613,
8606,3518,3614,
8607,3518,3615,
8608,3518,3615,
8609,3518,3615,
8610,3518,3615,
8611,3518,3615,
8612,3518,3613,
8613,3518,3613,
8614,3518,3613,
8615,3518,3613,
8616,3518,3613,
8617,3518,3613,
8618,3518,3613,
8619,3518,3613,
8620,3518,3613,
8621,3518,3613,
8622,3518,3518,
8623,3518,3518,
8624,3518,3518,
8625,3518,3518,
8626,3518,3518,
8627,3518,3518,
8628,3518,3518,
8629,3518,3518,
8630,3518,3518,
8631,3518,3518,
8632,3518,3518,
8633,3518,3518,
8634,3518,3518,
8635,3518,3628,
8636,3518,3666,
8637,3518,3666,
8638,3518,3666,
8639,3518,3518,
8640,3518,3614,
8641,3518,3614,
8642,3518,3614,
8643,3518,3614,
8644,3518,3614,
8645,3518,3518,
8646,3518,3518,
8647,3518,3518,
8648,3518,3518,
8649,3518,3518,
8650,3518,3518,
8651,3518,3518,
8652,3518,3518,
8653,3518,3518,
9411,3519,3519,
9432,11,150,
9465,3537,4025,
9629,4742,4760,
9630,4742,4760,
9740,4742,4760,
9741,4742,4760,
9742,4742,4760,
9743,4742,4760,
9777,4742,4760,
10161,3703,3703,
10196,3521,3521,
10200,495,3999,
10299,2557,2557,
10497,3483,3538,
10504,2817,4555,
10547,4742,4760,
10548,4742,4760,
10739,4742,4760,
10757,4742,4760,
10764,4742,4760,
10767,4742,4760,
10784,4742,4760,
10815,4742,4760,
10816,4742,4760,
10817,4742,4760,
10818,4742,4760,
10823,4742,4760,
10873,11,2104,
10993,3703,3703,
10994,3521,3643,
10997,3848,3848,
10998,3711,4292,
10999,3711,4292,
11001,3520,3949,
11002,3520,3949,
11003,4987,4987,
11161,4742,4760,
11184,3522,3781,
11185,3522,3867,
11390,2367,2367,
11404,2367,2367,
11414,2367,2367,
11415,2367,2367,
11416,2367,2367,
11417,2367,2367,
11420,2367,2367,
11424,2367,2367,
11488,2367,2367,
11499,2367,2367,
11501,2367,2367,
11502,2367,2367,
11511,2367,2367,
11559,2367,2367,
11560,2367,2367,
11561,2367,2367,
11562,2367,2367,
11563,2367,2367,
11564,2367,2367,
11565,2367,2367,
11568,2367,2367,
11569,2367,2367,
11599,2367,2367,
11600,2367,2367,
11601,2367,2367,
11657,3537,4025,
11693,65,4157,
11747,3791,3791,
12158,3521,3521,
12159,3703,3703,
12160,3791,3791,
12161,3791,3791,
12162,3791,3791,
12163,3791,3791,
12164,796,796,
12177,3703,3703,
12234,3703,3899,
12235,3703,3899,
12236,3703,3899,
12268,3703,3899,
12269,3703,3703,
12270,3703,3703,
12271,3703,3703,
12272,3703,3703,
12273,3703,3703,
12274,3703,3703,
12396,3715,3715,
12401,3703,3703,
12402,4395,4568,
12403,3717,3717,
12410,3845,3845,
12411,3845,3845,
12412,3845,3845,
12413,3845,3845,
12414,3845,3845,
12415,3845,3845,
12416,3845,3845,
12417,3845,3845,
12418,3845,3845,
12419,3845,3845,
12420,3845,3845,
12421,3845,3845,
12422,3845,3845,
