--uniqueID,zoneID,areaID,
5,3523,3880,
6,2557,2557,
15,3523,3880,
20,3523,3880,
21,3521,3646,
24,3523,3880,
28,3523,3880,
30,3523,3880,
32,3523,3880,
34,3523,3880,
44,67,4423,
45,3959,3959,
46,3537,4024,
48,3537,4024,
50,3537,4024,
55,3537,4024,
57,3537,4024,
59,3537,4128,
62,3537,3537,
69,3487,3487,
78,3717,3717,
79,3525,3906,
81,4395,4740,
82,4395,4601,
83,3703,3703,
84,65,4246,
85,65,4246,
87,65,4246,
88,3521,3655,
89,65,4246,
91,210,4508,
93,210,4508,
97,210,4508,
99,210,4508,
101,210,4508,
103,210,4508,
105,210,210,
107,210,4508,
111,210,4508,
113,210,4508,
115,210,4508,
127,4273,4657,
129,210,210,
130,210,210,
150,4228,4228,
151,4812,4859,
153,4812,4859,
156,210,4862,
157,210,4862,
159,2557,2557,
164,3483,3539,
170,3483,3539,
173,67,4436,
177,67,67,
181,67,4502,
183,67,67,
188,67,4502,
190,67,4502,
194,67,4502,
197,67,4502,
207,4813,4813,
215,4813,4813,
216,495,3984,
219,3487,3487,
221,3537,4148,
226,3519,3692,
227,3711,4307,
245,495,3983,
246,2677,2677,
247,2677,2677,
248,2677,2677,
249,2677,2677,
252,4273,4273,
256,4273,4273,
262,4273,4273,
264,4273,4273,
270,67,4438,
271,4273,4273,
274,4273,4273,
276,4273,4273,
281,4273,4273,
285,4273,4273,
289,4273,4273,
298,4273,4273,
303,3483,3554,
305,4813,4813,
306,3557,3557,
307,3557,3557,
308,3524,3527,
309,3557,3557,
310,3557,3557,
311,3557,3557,
312,3557,3557,
313,3557,3557,
318,65,4181,
320,65,4157,
325,65,4156,
334,3457,3457,
342,4395,4601,
356,3537,4124,
361,4500,4500,
362,67,4449,
365,4742,4742,
371,3518,3610,
379,3518,3610,
380,4196,4196,
388,210,4508,
390,210,4508,
392,210,4508,
394,210,210,
396,210,4508,
400,210,4508,
402,210,4508,
403,210,4508,
405,210,210,
407,210,4508,
563,1584,1584,
584,3715,3715,
614,3525,3525,
