--uniqueID,zoneID,areaID,
57#7,1537,1537,
57#6,1537,1537,
57#5,1537,1537,
57#4,1537,1537,
57#3,1537,1537,
57#2,1537,1537,
57#1,1537,1537,
57#13,1537,1537,
57#12,1537,1537,
57#11,1537,1537,
57#10,1537,1537,
57#9,1537,1537,
57#8,1537,1537,
97#11,1537,1537,
97#10,1537,1537,
97#9,1537,1537,
97#8,1537,1537,
97#7,1537,1537,
97#6,1537,1537,
97#5,1537,1537,
97#4,1537,1537,
97#3,1537,1537,
97#2,1537,1537,
97#1,1537,1537,
97#17,1537,1537,
97#16,1537,1537,
97#15,1537,1537,
97#14,1537,1537,
97#13,1537,1537,
97#12,1537,1537,
105#24,1537,1537,
105#23,1537,1537,
105#22,1537,1537,
105#21,1537,1537,
105#20,1537,1537,
105#19,1537,1537,
105#18,1537,1537,
105#17,1537,1537,
105#16,1537,1537,
105#15,1537,1537,
105#14,1537,1537,
105#13,1537,1537,
105#12,1537,1537,
105#11,1537,1537,
105#10,1537,1537,
105#9,1537,1537,
105#8,1537,1537,
105#7,1537,1537,
105#6,1537,1537,
105#5,1537,1537,
105#4,1537,1537,
105#3,1537,1537,
105#2,1537,1537,
105#1,1537,1537,
105#31,1537,1537,
105#30,1537,1537,
105#29,1537,1537,
105#28,1537,1537,
105#27,1537,1537,
105#26,1537,1537,
105#25,1537,1537,
121#4,1537,1537,
121#3,1537,1537,
121#2,1537,1537,
121#1,1537,1537,
121#11,1537,1537,
121#10,1537,1537,
121#9,1537,1537,
121#8,1537,1537,
121#7,1537,1537,
121#6,1537,1537,
121#5,1537,1537,
134#4,1537,1537,
134#3,1537,1537,
134#2,1537,1537,
134#1,1537,1537,
134#11,1537,1537,
134#10,1537,1537,
134#9,1537,1537,
134#8,1537,1537,
134#7,1537,1537,
134#6,1537,1537,
134#5,1537,1537,
144#30,1,809,
144#29,1,809,
144#28,1,809,
144#27,1,809,
144#26,1,809,
144#25,1,809,
144#24,1,809,
144#23,1,809,
144#22,1,809,
144#21,1,809,
144#20,1,809,
144#19,1,1,
144#18,1,1,
144#17,1,1,
144#16,1,1,
144#15,1,1,
144#14,1,1,
144#13,1,1,
144#12,1,1,
144#11,1,1,
144#10,1,1,
144#9,1,1,
144#8,1,1,
144#7,1,1,
144#6,1,809,
144#5,1,809,
144#4,1,809,
144#3,1,809,
144#2,1,809,
144#1,1,809,
146#7,1,1,
146#6,1,1,
146#5,1,1,
146#4,1,1,
146#3,1,1,
146#2,1,1,
146#1,1,1,
245#22,1,1,
245#21,1,1,
245#20,1,1,
245#19,1,1,
245#18,1,1,
245#17,1,1,
245#16,1,1,
245#15,1,1,
245#14,1,1,
245#13,1,1,
245#12,1,1,
245#11,1,1,
245#10,1,1,
245#9,1,1,
245#8,1,1,
245#7,1,1,
245#6,1,800,
245#5,1,800,
245#4,1,800,
245#3,1,800,
245#2,1,800,
245#1,1,800,
225#3,1,131,
225#2,1,131,
225#1,1,131,
187#14,1,1,
187#13,1,131,
187#12,1,131,
187#11,1,131,
187#10,1,131,
187#9,1,131,
187#8,1,131,
187#7,1,131,
187#6,1,131,
187#5,1,131,
187#4,1,131,
187#3,1,131,
187#2,1,131,
187#1,1,131,
334#1,1,132,
334#2,1,132,
334#3,1,132,
334#4,1,132,
334#5,1,132,
334#6,1,132,
334#7,1,132,
334#8,1,800,
334#9,1,800,
334#10,1,800,
334#11,1,800,
334#12,1,800,
334#13,1,800,
334#14,1,800,
334#15,1,800,
334#16,1,800,
334#17,1,800,
334#18,1,800,
334#19,1,800,
334#20,1,800,
334#21,1,800,
334#22,1,800,
334#23,1,800,
334#24,1,800,
334#25,1,132,
334#26,1,132,
334#27,1,132,
334#28,1,132,
334#29,1,132,
334#30,1,132,
334#31,1,132,
354#1,1,132,
354#2,1,132,
354#3,1,132,
354#4,1,132,
354#5,1,132,
354#6,1,132,
354#7,1,132,
354#8,1,132,
354#9,1,132,
354#10,1,132,
354#11,1,132,
354#12,1,132,
354#13,1,132,
354#14,1,132,
354#15,1,132,
354#16,1,132,
354#17,1,132,
398#1,1,132,
398#2,1,132,
398#3,1,132,
398#4,1,132,
411#5,1,132,
411#4,1,132,
411#3,1,132,
411#2,1,132,
411#1,1,132,
591#15,33,35,
591#14,33,35,
591#13,33,35,
591#12,33,35,
591#11,33,35,
591#10,33,35,
591#9,33,35,
591#8,33,35,
591#7,33,35,
591#6,33,35,
610#5,33,117,
610#4,33,117,
610#3,33,117,
610#2,33,117,
610#1,33,117,
591#5,33,35,
591#4,33,35,
591#3,33,35,
591#2,33,35,
591#1,33,35,
178#22,33,35,
178#21,33,35,
178#20,33,35,
178#19,33,35,
178#18,33,35,
178#17,33,35,
178#16,33,35,
178#15,33,35,
178#14,33,35,
178#13,33,35,
178#12,33,35,
178#11,33,35,
178#10,33,35,
178#9,33,35,
178#8,33,35,
178#7,33,35,
178#6,33,35,
178#5,33,35,
178#4,33,35,
178#3,33,35,
178#2,33,35,
178#1,33,35,
1021#13,1,132,
1021#12,1,132,
1021#11,1,132,
1021#10,1,132,
1021#9,1,132,
1021#8,1,132,
1021#7,1,132,
1021#6,1,132,
1021#5,1,132,
1021#4,1,132,
1021#3,1,132,
1021#2,1,132,
1021#1,1,132,
1748#9,1537,1537,
1748#8,1537,1537,
1748#7,1537,1537,
1748#6,1537,1537,
1748#5,1537,1537,
1748#4,1537,1537,
1748#3,1537,1537,
1748#2,1537,1537,
1748#1,1537,1537,
1759#4,1537,1537,
1759#3,1537,1537,
1759#2,1537,1537,
1759#1,1537,1537,
1759#13,1537,1537,
1759#12,1537,1537,
1759#11,1537,1537,
