--uniqueID,zoneID,areaID,
1,17,392,
2,46,250,
3,17,392,
4,33,105,
190312,1637,1637,
7,33,1577,
8,33,1577,
9,33,1577,
10,14,14,
11,33,33,
12,33,33,
13,33,33,
14,14,363,
16,33,1741,
17,33,1741,
18,33,477,
19,1537,1537,
22,33,477,
23,33,102,
25,33,102,
26,1537,1537,
27,1537,1537,
29,33,122,
31,33,102,
33,33,99,
35,33,100,
37,33,101,
39,33,126,
41,33,1740,
43,33,311,
45,1537,1537,
47,1537,1537,
49,1537,1537,
51,1537,1537,
53,1537,1537,
54,1537,1537,
56,1537,1537,
58,1537,1537,
60,1537,1537,
61,33,129,
63,33,35,
64,33,104,
65,33,123,
66,46,253,
67,33,477,
68,33,105,
70,33,127,
72,33,33,
74,33,43,
75,33,103,
77,33,103,
78,14,368,
81,46,46,
82,46,46,
83,46,46,
86,33,103,
90,46,2420,
92,1537,1537,
94,1537,1537,
95,1537,1537,
1080541,16,1227,
98,33,103,
100,46,2420,
102,46,2420,
104,46,46,
106,46,254,
108,46,46,
110,1537,1537,
112,1537,1537,
114,1537,1537,
116,1537,1537,
117,1537,1537,
118,1537,1537,
119,1537,1537,
120,1537,1537,
121,1537,1537,
122,1537,1537,
123,1537,1537,
124,1537,1537,
125,1537,1537,
126,33,1741,
132,618,2256,
140440,357,1136,
140434,357,1108,
140424,1377,1377,
140423,1377,2737,
140422,1377,3427,
140421,1377,1377,
140420,1377,1377,
140414,1377,2744,
140413,1377,2744,
140412,1377,2744,
140411,1377,2744,
140410,1377,2738,
140404,1377,2742,
166,618,2252,
167,618,2252,
5290110,3358,3420,
140403,1377,1377,
5290111,3358,3420,
5290112,3358,3420,
185,618,2252,
140402,1377,1377,
140401,1377,1377,
140400,1377,2742,
140394,1377,2742,
5290113,3358,3420,
5290114,3358,3420,
210,618,2256,
5290115,3358,3420,
5290116,3358,3420,
220,618,2252,
140393,1377,2742,
140392,1377,1377,
225,361,1763,
228,361,361,
140391,1377,1377,
140390,1377,3426,
238,618,2256,
239,618,2256,
5290117,3358,3420,
140384,1377,2744,
246,618,2256,
5290118,3358,3420,
5290119,3358,3420,
140383,1377,3097,
140382,1377,3097,
5290120,3358,3420,
5290121,3358,3420,
5290122,3358,3420,
287,618,2256,
292,618,2252,
293,618,2250,
140381,1377,3426,
142075,331,435,
142074,331,435,
142073,331,435,
140380,1377,2738,
142072,331,436,
142054,490,542,
140374,1377,1377,
140373,1377,1377,
157007,139,2262,
140133,440,2300,
140372,1377,1377,
142053,490,542,
142052,490,542,
140132,440,2300,
340,618,2256,
140371,1377,1377,
140370,1377,1377,
142051,490,542,
140131,440,2300,
348,618,2256,
140130,440,2300,
351,1537,1537,
352,1537,1537,
142050,490,542,
140124,440,981,
358,618,2249,
15427,490,540,
140123,440,981,
142044,490,538,
140122,440,981,
142043,490,538,
140121,440,981,
142042,490,538,
140120,440,981,
142041,490,538,
384,618,2249,
140114,440,982,
140365,1377,2743,
389,46,46,
391,46,46,
393,46,46,
395,46,2418,
397,46,252,
398,14,14,
399,14,362,
