--uniqueID,zoneID,areaID,
97#17,1537,1537,
97#16,1537,1537,
97#15,1537,1537,
97#14,1537,1537,
97#13,1537,1537,
97#12,1537,1537,
97#11,1537,1537,
33991#7,15,504,
33991#6,15,504,
33991#5,15,504,
33991#4,15,504,
33991#3,15,504,
33991#2,15,504,
33991#1,15,504,
33893#13,15,504,
33893#12,15,504,
33893#11,15,504,
33893#10,15,504,
33893#9,15,504,
33893#8,15,504,
33893#7,15,504,
33893#6,15,504,
33893#5,15,504,
33893#4,15,504,
33893#3,15,504,
33893#2,15,504,
33893#1,15,504,
33988#55,15,504,
33988#54,15,504,
33988#53,15,504,
33988#52,15,504,
33988#51,15,504,
33988#50,15,504,
1889#7,1537,1537,
1889#6,1537,1537,
1889#5,1537,1537,
1889#4,1537,1537,
1889#3,1537,1537,
1889#2,1537,1537,
1889#1,1537,1537,
57#13,1537,1537,
57#12,1537,1537,
57#11,1537,1537,
122#1,1537,1537,
122#2,1537,1537,
122#3,1537,1537,
122#4,1537,1537,
122#5,1537,1537,
122#6,1537,1537,
134#4,1537,1537,
134#3,1537,1537,
134#2,1537,1537,
134#1,1537,1537,
1895#12,1537,1537,
1895#11,1537,1537,
1894#18,1537,1537,
1894#17,1537,1537,
1894#16,1537,1537,
1894#15,1537,1537,
1894#14,1537,1537,
1894#13,1537,1537,
1894#12,1537,1537,
1894#11,1537,1537,
144#30,1,809,
144#29,1,809,
144#28,1,809,
144#27,1,809,
144#26,1,809,
144#25,1,809,
144#24,1,809,
144#23,1,809,
144#22,1,809,
144#21,1,809,
144#20,1,809,
144#19,1,1,
144#18,1,1,
144#17,1,1,
144#16,1,1,
144#15,1,1,
144#14,1,1,
144#13,1,1,
144#12,1,1,
144#11,1,1,
144#10,1,1,
144#9,1,1,
144#8,1,1,
144#7,1,1,
144#6,1,809,
144#5,1,809,
144#4,1,809,
144#3,1,809,
144#2,1,809,
144#1,1,809,
146#1,1,1,
146#2,1,1,
146#3,1,1,
146#4,1,1,
146#5,1,1,
146#6,1,1,
146#7,1,1,
146#8,1,1,
146#9,1,1,
146#10,1,1,
146#11,1,1,
146#12,1,1,
146#13,1,1,
146#14,1,1,
187#1,1,131,
187#2,1,131,
187#3,1,131,
187#4,1,131,
187#5,1,131,
187#6,1,131,
187#7,1,131,
187#8,1,131,
187#9,1,131,
187#10,1,131,
187#11,1,131,
187#12,1,131,
187#13,1,131,
187#14,1,131,
187#15,1,131,
187#16,1,131,
187#17,1,131,
187#18,1,131,
187#19,1,131,
187#20,1,131,
187#21,1,131,
187#22,1,1,
187#23,1,1,
187#24,1,1,
187#25,1,131,
187#26,1,131,
187#27,1,131,
187#28,1,131,
187#29,1,131,
187#30,1,131,
187#31,1,131,
187#32,1,131,
187#33,1,131,
187#34,1,131,
187#35,1,131,
187#36,1,131,
187#37,1,131,
187#38,1,131,
187#39,1,131,
187#40,1,131,
187#41,1,131,
187#42,1,131,
187#43,1,131,
