--uniqueID,zoneID,areaID,
330#1,12,62,
330#2,12,62,
330#3,12,62,
330#4,12,62,
330#5,12,62,
330#6,12,62,
330#7,12,62,
330#8,12,62,
330#9,12,62,
391#1,40,2,
391#2,40,2,
391#3,40,2,
391#4,40,2,
391#5,40,2,
391#6,40,2,
391#7,40,2,
391#8,40,2,
391#9,40,2,
391#10,40,2,
391#11,40,2,
391#12,40,2,
391#13,40,2,
391#14,40,2,
391#15,40,2,
391#16,40,2,
391#17,40,2,
391#18,40,2,
391#19,40,2,
391#20,40,2,
391#21,40,2,
391#22,40,2,
391#23,40,2,
391#24,40,2,
391#25,40,2,
391#26,40,2,
391#27,40,2,
391#28,40,2,
391#29,40,2,
391#30,40,2,
391#31,40,2,
391#32,40,2,
391#33,40,2,
391#34,40,2,
468#1,10,42,
468#2,10,42,
468#3,10,42,
468#4,10,42,
468#5,10,42,
468#6,10,42,
468#7,10,42,
468#8,10,42,
468#9,10,42,
468#10,10,42,
468#11,10,42,
468#12,10,42,
468#13,10,42,
468#14,10,42,
468#15,10,42,
468#16,10,42,
468#17,10,42,
468#18,10,42,
468#19,10,42,
468#20,10,42,
489#1,40,108,
489#2,40,108,
489#3,40,108,
489#4,40,108,
489#5,40,108,
489#6,40,108,
489#7,40,108,
489#8,40,108,
489#9,40,108,
495#1,10,42,
495#2,10,42,
495#3,10,42,
495#4,10,42,
495#5,10,42,
495#6,10,42,
522#1,10,243,
522#2,10,243,
522#3,10,243,
522#4,10,243,
522#5,10,492,
522#6,10,492,
522#7,10,492,
522#8,10,492,
522#9,10,492,
522#10,10,492,
522#11,10,492,
522#12,10,492,
522#13,10,492,
522#14,10,492,
522#15,10,492,
522#16,10,492,
522#17,10,492,
522#18,10,492,
522#19,10,492,
522#20,10,492,
522#21,10,492,
522#22,10,492,
522#23,10,492,
522#24,10,492,
522#25,10,492,
522#26,10,243,
522#27,10,492,
522#28,10,492,
522#29,10,492,
522#30,10,492,
522#31,10,492,
522#32,10,492,
522#33,10,243,
522#34,10,243,
642#1,1581,1582,
642#2,1581,1582,
642#3,1581,1582,
642#4,1581,1582,
642#5,1581,1582,
642#6,1581,1582,
645#1,1581,1582,
645#2,1581,1582,
645#3,1581,1582,
645#4,1581,1582,
645#5,1581,1582,
645#6,1581,1582,
645#7,1581,1582,
645#8,1581,1582,
645#9,1581,1582,
645#10,1581,1582,
645#11,1581,1582,
645#12,1581,1582,
645#13,1581,1582,
645#14,1581,1582,
645#15,1581,1582,
645#16,1581,1582,
647#1,1581,1582,
647#2,1581,1582,
647#3,1581,1582,
647#4,1581,1582,
723#1,33,105,
723#2,33,105,
723#3,33,105,
797#1,12,87,
797#2,12,87,
797#3,12,87,
797#4,12,87,
797#5,12,87,
797#6,12,87,
797#7,12,87,
797#8,12,87,
797#9,12,87,
797#10,12,87,
797#11,12,87,
797#12,12,87,
797#13,12,87,
797#14,12,87,
797#15,12,87,
797#16,12,87,
797#17,12,87,
797#18,12,87,
797#19,12,87,
797#20,12,87,
797#21,12,87,
797#22,12,87,
797#23,12,87,
797#24,12,87,
797#25,12,87,
797#26,12,87,
797#27,12,87,
797#28,12,87,
797#29,12,87,
797#30,12,87,
797#31,12,87,
840#1,10,10,
840#2,10,10,
840#3,10,10,
840#4,10,10,
840#5,10,10,
840#6,10,42,
840#7,10,42,
840#8,10,42,
840#9,10,42,
840#10,10,42,
840#11,10,42,
840#12,10,42,
840#13,10,42,
840#14,10,42,
840#15,10,10,
840#16,10,10,
840#17,10,10,
840#18,10,10,
844#1,12,12,
844#2,12,12,
844#3,12,12,
844#4,12,12,
844#5,12,12,
844#6,12,12,
844#7,12,12,
844#8,12,12,
844#9,12,12,
844#10,12,12,
844#11,12,12,
844#12,12,12,
844#13,12,12,
844#14,12,12,
844#15,12,12,
844#16,12,12,
844#17,12,12,
844#18,12,12,
844#19,12,12,
844#20,12,12,
844#21,12,12,
844#22,12,12,
844#23,12,12,
844#24,12,12,
844#25,12,12,
844#26,12,12,
844#27,12,12,
844#28,12,12,
844#29,12,12,
844#30,12,12,
844#31,12,12,
844#32,12,12,
844#33,12,12,
844#34,12,12,
844#35,12,12,
844#36,12,12,
844#37,12,12,
844#38,12,12,
844#39,12,12,
844#40,12,12,
844#41,12,87,
844#42,12,87,
844#43,12,87,
844#44,12,87,
844#45,12,87,
844#46,12,87,
844#47,12,87,
844#48,12,87,
844#49,12,87,
844#50,12,87,
844#51,12,87,
844#52,12,87,
844#53,12,87,
844#54,12,87,
844#55,12,87,
844#56,12,87,
844#57,12,87,
844#58,12,87,
844#59,12,87,
844#60,12,87,
844#61,12,87,
844#62,12,87,
844#63,12,87,
844#64,12,87,
844#65,12,87,
844#66,12,12,
844#67,12,12,
844#68,12,12,
844#69,12,12,
844#70,12,12,
844#71,12,12,
844#72,12,12,
844#73,12,12,
844#74,12,12,
844#75,12,12,
844#76,12,12,
844#77,12,12,
844#78,12,12,
844#79,12,60,
844#80,12,60,
844#81,12,60,
844#82,12,60,
844#83,12,60,
844#84,12,60,
844#85,12,60,
844#86,12,60,
844#87,12,60,
844#88,12,60,
844#89,40,40,
844#90,40,40,
844#91,40,40,
844#92,40,916,
844#93,40,916,
844#94,40,916,
844#95,40,916,
844#96,40,916,
844#97,40,916,
844#98,40,916,
844#99,40,40,
844#100,40,40,
844#101,40,40,
844#102,40,40,
844#103,40,40,
844#104,40,40,
844#105,40,40,
844#106,40,40,
844#107,40,40,
844#108,40,40,
844#109,40,40,
844#110,40,40,
844#111,40,40,
844#112,40,40,
844#113,40,40,
844#114,40,40,
844#115,40,40,
844#116,40,40,
844#117,40,40,
844#118,40,40,
844#119,40,40,
844#120,40,40,
844#121,40,40,
844#122,40,40,
844#123,40,40,
844#124,40,40,
844#125,40,108,
844#126,40,108,
844#127,40,108,
844#128,40,108,
844#129,40,108,
844#130,40,108,
844#131,40,108,
844#132,40,108,
844#133,40,108,
844#134,40,108,
844#135,40,108,
844#136,40,108,
844#137,40,108,
844#138,40,108,
844#139,40,108,
844#140,40,108,
844#141,40,108,
844#142,40,108,
844#143,40,108,
844#144,40,108,
844#145,40,108,
844#146,40,108,
844#147,40,108,
844#148,40,108,
844#149,40,108,
844#150,40,108,
844#151,40,40,
844#152,40,40,
844#153,40,40,
844#154,40,40,
844#155,40,40,
844#156,40,40,
844#157,40,40,
844#158,40,40,
844#159,40,40,
844#160,40,40,
844#161,40,40,
844#162,40,40,
844#163,40,40,
844#164,40,40,
844#165,40,40,
844#166,40,40,
844#167,40,40,
844#168,40,40,
844#169,40,40,
844#170,40,40,
844#171,40,40,
844#172,40,40,
844#173,10,10,
844#174,10,10,
844#175,10,10,
844#176,10,10,
844#177,10,10,
844#178,10,10,
844#179,10,10,
844#180,10,10,
844#181,10,10,
844#182,10,10,
844#183,10,10,
844#184,10,10,
844#185,10,10,
844#186,10,10,
844#187,10,10,
844#188,10,10,
844#189,10,10,
844#190,10,10,
844#191,10,10,
844#192,10,10,
844#193,10,10,
844#194,10,10,
844#195,10,10,
844#196,10,10,
844#197,10,10,
844#198,10,10,
844#199,10,10,
844#200,10,10,
844#201,10,10,
844#202,10,10,
844#203,10,10,
844#204,10,10,
844#205,10,10,
844#206,10,10,
844#207,10,10,
844#208,10,10,
844#209,10,10,
