--uniqueID,zoneID,areaID,
330#1#0,12,62,
330#2#0,12,62,
330#3#0,12,62,
330#4#0,12,62,
330#5#0,12,62,
330#6#0,12,62,
330#7#0,12,62,
330#8#0,12,62,
330#9#0,12,62,
391#34#0,40,2,
391#33#0,40,2,
391#32#0,40,2,
391#31#0,40,2,
391#30#0,40,2,
391#29#0,40,2,
391#28#0,40,2,
391#27#0,40,2,
391#26#0,40,2,
391#25#0,40,2,
391#24#0,40,2,
391#23#0,40,2,
391#22#0,40,2,
391#21#0,40,2,
391#20#0,40,2,
391#19#0,40,2,
391#18#0,40,2,
391#17#0,40,2,
391#16#0,40,2,
391#15#0,40,2,
391#14#0,40,2,
391#13#0,40,2,
391#12#0,40,2,
391#11#0,40,2,
391#10#0,40,2,
391#9#0,40,2,
391#8#0,40,2,
391#7#0,40,2,
391#6#0,40,2,
391#5#0,40,2,
391#4#0,40,2,
391#3#0,40,2,
391#2#0,40,2,
391#1#0,40,2,
468#1#0,10,42,
468#2#0,10,42,
468#3#0,10,42,
468#4#0,10,42,
468#5#0,10,42,
468#6#0,10,42,
468#7#0,10,42,
468#8#0,10,42,
468#9#0,10,42,
468#10#0,10,42,
468#11#0,10,42,
468#12#0,10,42,
468#13#0,10,42,
468#14#0,10,42,
468#15#0,10,42,
468#16#0,10,42,
468#17#0,10,42,
468#18#0,10,42,
468#19#0,10,42,
468#20#0,10,42,
489#1#0,40,108,
489#2#0,40,108,
489#3#0,40,108,
489#4#0,40,108,
489#5#0,40,108,
489#6#0,40,108,
489#7#0,40,108,
489#8#0,40,108,
489#9#0,40,108,
840#15#0,10,10,
840#14#0,10,10,
840#13#0,10,10,
840#12#0,10,10,
840#11#0,10,10,
522#1#0,10,243,
522#2#0,10,243,
522#3#0,10,243,
522#4#0,10,243,
522#5#0,10,492,
522#6#0,10,492,
522#7#0,10,492,
522#8#0,10,492,
522#9#0,10,492,
522#10#0,10,492,
522#11#0,10,492,
522#12#0,10,492,
522#13#0,10,492,
522#14#0,10,492,
522#15#0,10,492,
522#16#0,10,492,
522#17#0,10,492,
522#18#0,10,492,
522#19#0,10,492,
522#20#0,10,492,
522#21#0,10,492,
522#22#0,10,492,
522#23#0,10,492,
522#24#0,10,492,
522#25#0,10,492,
522#26#0,10,243,
522#27#0,10,492,
522#28#0,10,492,
522#29#0,10,492,
522#30#0,10,492,
522#31#0,10,492,
522#32#0,10,492,
522#33#0,10,243,
522#34#0,10,243,
723#1#0,33,105,
723#2#0,33,105,
723#3#0,33,105,
797#1#0,12,87,
797#2#0,12,87,
797#3#0,12,87,
797#4#0,12,87,
797#5#0,12,87,
797#6#0,12,87,
797#7#0,12,87,
797#8#0,12,87,
797#9#0,12,87,
797#10#0,12,87,
797#11#0,12,87,
797#12#0,12,87,
797#13#0,12,87,
797#14#0,12,87,
797#15#0,12,87,
797#16#0,12,87,
797#17#0,12,87,
797#18#0,12,87,
797#19#0,12,87,
797#20#0,12,87,
797#21#0,12,87,
797#22#0,12,87,
797#23#0,12,87,
797#24#0,12,87,
797#25#0,12,87,
797#26#0,12,87,
797#27#0,12,87,
797#28#0,12,87,
797#29#0,12,87,
797#30#0,12,87,
797#31#0,12,87,
840#10#0,10,10,
840#9#0,10,10,
840#8#0,10,10,
840#7#0,10,42,
840#6#0,10,42,
840#5#0,10,42,
840#4#0,10,42,
840#3#0,10,42,
840#2#0,10,42,
840#1#0,10,42,
844#1#0,12,12,
844#2#0,12,12,
844#3#0,12,12,
844#4#0,12,12,
844#5#0,12,12,
844#6#0,12,12,
844#7#0,12,12,
844#8#0,12,12,
844#9#0,12,12,
844#10#0,12,12,
844#11#0,12,12,
844#12#0,12,12,
844#13#0,12,12,
844#14#0,12,12,
844#15#0,12,12,
844#16#0,12,12,
844#17#0,12,12,
844#18#0,12,12,
844#19#0,12,12,
844#20#0,12,12,
844#21#0,12,12,
844#22#0,12,12,
844#23#0,12,12,
844#24#0,12,12,
844#25#0,12,12,
844#26#0,12,12,
844#27#0,12,12,
844#28#0,12,12,
844#29#0,12,12,
844#30#0,12,12,
844#31#0,12,12,
844#32#0,12,12,
844#33#0,12,12,
844#34#0,12,12,
844#35#0,12,12,
844#36#0,12,12,
844#37#0,12,12,
844#38#0,12,12,
844#39#0,12,12,
844#40#0,12,12,
844#41#0,12,87,
844#42#0,12,87,
844#43#0,12,87,
844#44#0,12,87,
844#45#0,12,87,
844#46#0,12,87,
844#47#0,12,87,
844#48#0,12,87,
844#49#0,12,87,
844#50#0,12,87,
844#51#0,12,87,
844#52#0,12,87,
844#53#0,12,87,
844#54#0,12,87,
844#55#0,12,87,
844#56#0,12,87,
