--uniqueID,zoneID,areaID,
1225#1,38,936,
1225#2,38,936,
1225#3,38,936,
1225#4,38,936,
1225#5,38,936,
1225#6,38,936,
1225#7,38,936,
1225#8,38,936,
1225#9,38,936,
1225#10,38,936,
1225#11,38,936,
1225#12,38,936,
1225#13,38,936,
1225#14,38,936,
1225#15,38,936,
1225#16,38,936,
1225#17,38,936,
1225#18,38,936,
1225#19,38,936,
1225#20,38,936,
1225#21,38,936,
1225#22,38,936,
1225#23,38,936,
1225#24,38,936,
1225#25,38,936,
1225#26,38,936,
1225#27,38,936,
1225#28,38,936,
1225#29,38,936,
1225#30,38,936,
1225#31,38,936,
14857#45,17,17,
14857#44,17,17,
14857#43,17,17,
14857#42,17,17,
14857#41,17,17,
14857#40,17,17,
14857#49,17,17,
14857#38,17,17,
14857#37,17,17,
14857#36,17,458,
14857#35,17,458,
14857#34,17,17,
14857#33,17,17,
14857#32,17,17,
14857#31,17,17,
14857#30,17,17,
14857#29,17,17,
14857#28,17,17,
14857#27,17,17,
14857#26,17,17,
14857#25,17,17,
14857#24,17,17,
14857#23,17,17,
14857#22,17,17,
14857#21,17,17,
14857#20,17,17,
14857#19,17,17,
14857#18,17,17,
14857#17,17,17,
14857#16,17,17,
14857#15,17,17,
14857#14,17,17,
14857#13,17,17,
14857#12,17,17,
14857#11,17,17,
14857#10,17,17,
14857#9,17,17,
14857#8,17,17,
14857#7,17,17,
14857#6,17,17,
14857#5,17,17,
14857#4,17,17,
14857#3,17,17,
14857#2,17,17,
14857#1,17,17,
14850#1,17,17,
14850#2,17,17,
14850#3,17,17,
14850#4,17,17,
14850#5,17,17,
14850#6,17,17,
14850#7,17,17,
14850#8,17,17,
14850#9,17,17,
14850#10,17,17,
14850#11,17,17,
14850#12,17,17,
14850#13,17,17,
14850#14,17,17,
14850#15,17,17,
14850#16,17,17,
14850#17,17,17,
14850#18,17,17,
14850#19,17,17,
14850#20,17,17,
14850#21,17,17,
14850#22,17,17,
14850#23,17,17,
14850#24,17,17,
14850#25,17,17,
14850#26,17,17,
14850#27,17,17,
14850#28,17,17,
14850#29,17,17,
14873#44,17,1704,
14873#43,17,1704,
14873#42,17,1704,
14873#41,17,1704,
14873#40,17,1704,
14873#39,17,1704,
14873#38,17,1704,
14873#37,17,1704,
14873#36,17,1704,
14873#35,17,1704,
14873#34,17,1704,
14873#33,17,1704,
14873#32,17,1704,
14873#31,17,1704,
14873#30,17,1704,
14873#29,17,1704,
14873#28,17,1704,
14873#27,17,1704,
14873#26,17,1704,
14873#25,17,1704,
14873#24,17,1704,
14873#23,17,1704,
14873#22,17,1704,
14873#21,17,1704,
14873#20,17,1704,
14873#19,17,1704,
14873#18,17,1704,
14873#17,17,1704,
14873#16,17,1704,
14873#15,17,1704,
14873#14,17,1704,
14873#13,17,1704,
14873#12,17,1704,
14873#11,17,1704,
14873#10,17,1704,
14873#9,17,1704,
14873#8,17,1704,
14873#7,17,1704,
14873#6,17,1704,
14873#5,17,1704,
14873#4,17,1704,
14873#3,17,1704,
14873#2,17,1704,
14873#1,17,1704,
5907#1,17,1704,
5907#2,17,1704,
5907#3,17,1704,
5907#4,17,1704,
5907#5,17,1704,
5907#6,17,1704,
5907#7,17,1704,
5907#8,17,1704,
1533#1,85,157,
1533#2,85,157,
1533#3,85,157,
1533#4,85,157,
1533#5,85,157,
1533#6,85,157,
1533#7,85,157,
1533#8,85,157,
1533#9,85,157,
1533#10,85,157,
1533#11,85,157,
1533#12,85,157,
1533#13,85,157,
1533#14,85,157,
1533#15,85,157,
1533#16,85,157,
1533#17,85,157,
1533#18,85,157,
1533#19,85,157,
1533#20,85,157,
1533#21,85,157,
1533#22,85,157,
1533#23,85,157,
