ID,ContinentID,Pos_0,Pos_1,Pos_2,PhaseUseFlags,PhaseID,PhaseGroupID,Radius,Box_length,Box_width,Box_height,Box_yaw,ShapeType,ShapeID,AreaTriggerActionSetID,Flags,Message_lang
45,0,2924.3798828125,-798.42901611328,161.61099243164,0,0,0,8,0,0,0,0,0,0,167,0,
71,0,-10645.900390625,1179.0600585938,48.17810058594,0,0,0,27,0,0,0,0,0,0,168,0,
78,0,-11207.299804688,1684.2399902344,26.90749931335,0,0,0,0,14,9.89999961853,9,6.25600004196,1,0,169,0,
84,0,16449.900390625,16393.19921875,69.44439697266,0,0,0,15,0,0,0,0,0,0,170,0,
87,0,-9077.33984375,-552.92498779297,60.34759902954,0,0,0,30,0,0,0,0,0,0,171,0,
88,0,-9843.5400390625,127.52500152588,5.36980009079,0,0,0,10,0,0,0,0,0,0,172,0,
95,30,-409.828125,-802.77081298828,-13.24696159363,0,0,0,9,0,0,0,0,0,0,173,0,
97,0,-5660.330078125,755.29901123047,389.60501098633,0,0,0,15,0,0,0,0,0,0,174,0,
98,0,-11634.799804688,-54.06969833374,13.44390010834,0,0,0,30,0,0,0,0,0,0,175,0,
100,0,2019.3493652344,1904.359375,105.14444732666,0,0,0,7,0,0,0,0,0,0,176,0,
101,0,-8761.849609375,848.55700683594,87.80519866943,0,0,0,0,4.97200012207,9.69400024414,7.4439997673,0.66320002079,1,0,177,0,
107,0,-8667.5595703125,623.56298828125,85.40540313721,0,0,0,7,0,0,0,0,0,0,178,0,
109,35,-0.90042001009,16.44300079346,-14.23600006104,0,0,0,7,0,0,0,0,0,0,179,0,
119,36,-14.36279964447,-393.38000488281,64.56050109863,0,0,0,6,0,0,0,0,0,0,180,0,
121,36,-110.76000213623,-1009.1900024414,34.80440139771,0,0,0,7,0,0,0,0,0,0,181,0,
145,0,-227.99800109863,1576.6999511719,80.88300323486,0,0,0,0,14,13.5,10,5.90000009537,1,0,182,0,
168,0,-5584.2065429688,759.83215332031,384.29016113281,0,0,0,15,0,0,0,0,0,0,183,0,
169,0,-5586.4599609375,679.29797363281,384.95498657227,0,0,0,8,0,0,0,0,0,0,184,0,
171,0,-5705.8100585938,-3548.3701171875,305.33599853516,0,0,0,50,0,0,0,0,0,0,185,0,
173,0,1068.6999511719,1537.4200439453,28.37840080261,0,0,0,0,94.40000152588,50.61000061035,15,0,1,0,186,0,
175,0,-4086.3601074219,-2610.9499511719,46.01430130005,0,0,0,20,0,0,0,0,0,0,187,0,
178,0,683.77099609375,-912.14398193359,174.5,0,0,0,5,0,0,0,0,0,0,188,0,
194,33,-232,2102.8664550781,79.67028808594,0,0,0,0,7.5,5.5,8,5.88199996948,1,0,189,0,
196,0,-12153.62109375,894.01373291016,9.53891277313,0,0,0,80,0,0,0,0,0,0,190,0,
197,0,-9796.1796875,157.77299499512,25.38780021667,0,0,0,9,0,0,0,0,0,0,191,0,
205,1,-1895.7800292969,-1109.0400390625,86.18299865723,0,0,0,15,0,0,0,0,0,0,192,0,
216,1,90.1003036499,-1943.4399414062,79.47270202637,0,0,0,9,0,0,0,0,0,0,193,0,
217,1,10673.799804688,809.42199707031,1322.2800292969,0,0,0,14,0,0,0,0,0,0,194,0,
218,1,9814.099609375,587.12200927734,1297.3599853516,0,0,0,14,0,0,0,0,0,0,195,0,
219,1,9510.349609375,1657.1800537109,1291.3599853516,0,0,0,8.85398006439,0,0,0,0,0,0,196,0,
220,1,10701.400390625,1862.9000244141,1329.8699951172,0,0,0,10,0,0,0,0,0,0,197,0,
226,43,-172.18099975586,138.97999572754,-66.64710235596,0,0,0,12,0,0,0,0,0,0,199,0,
228,1,-753.59600830078,-2212.7800292969,21.54030036926,0,0,0,13,0,0,0,0,0,0,200,0,
230,1,6744.9799804688,41.11640167236,47.60409927368,0,0,0,13,0,0,0,0,0,0,201,0,
231,1,5996.5600585938,365.20999145508,21.86610031128,0,0,0,40,0,0,0,0,0,0,202,0,
232,1,5980.169921875,330.66900634766,21.76549911499,0,0,0,40,0,0,0,0,0,0,203,0,
233,1,4916.990234375,328.42999267578,36.76779937744,0,0,0,50,0,0,0,0,0,0,204,0,
234,1,4641.1899414062,55.38010025024,66.63069915771,0,0,0,60,0,0,0,0,0,0,205,0,
235,1,4554.6499023438,146.35400390625,59.50270080566,0,0,0,70,0,0,0,0,0,0,206,0,
236,1,4643.3798828125,145.34899902344,57.90470123291,0,0,0,50,0,0,0,0,0,0,207,0,
237,1,4504.3100585938,32.32960128784,86.49130249023,0,0,0,80,0,0,0,0,0,0,208,0,
238,1,6876.2797851562,-486.02899169922,40.14360046387,0,0,0,65,0,0,0,0,0,0,209,0,
242,47,1936.3900146484,1534.4699707031,86.87689971924,0,0,0,8,0,0,0,0,0,0,210,0,
244,1,-4455.1098632812,-1655.0100097656,85,0,0,0,0,13,15,10,5.59600019455,1,0,211,0,
246,1,-4932.5297851562,-1596.0500488281,84.81569671631,0,0,0,20,0,0,0,0,0,0,212,0,
254,33,-236.4700012207,2202.419921875,97.34519958496,0,0,0,5,0,0,0,0,0,0,214,0,
255,33,-223.3990020752,2101.9699707031,97.38990020752,0,0,0,5,0,0,0,0,0,0,215,0,
256,33,-189.0059967041,2145.6899414062,97.38990020752,0,0,0,7,0,0,0,0,0,0,216,0,
257,1,4253.1098632812,756.96697998047,-19.5,0,0,0,0,16.96999931335,16.96999931335,8,5.99599981308,1,0,217,0,
259,48,-148.63299560547,131.08000183106,-33.41410064697,0,0,0,0,36.9700012207,36.9700012207,20,0,1,0,218,0,
262,47,2019.7299804688,2004.5999755859,61.68740081787,0,0,0,15,0,0,0,0,0,0,220,0,
283,48,-527.65802001953,321.10900878906,-50.25839996338,0,0,0,20,0,0,0,0,0,0,223,0,
284,0,-8681.3701171875,434.40600585938,99.25789642334,0,0,0,7,0,0,0,0,0,0,224,0,
286,0,-6055.5,-2955,220,0,0,0,0,14.14000034332,24,22,0.04493999854,1,0,225,0,
288,70,-228.19299316406,34.16019821167,-39.23389816284,0,0,0,10,0,0,0,0,0,0,226,0,
302,1,-3463.2600097656,-4123.1298828125,17.10429954529,0,0,0,8,0,0,0,0,0,0,227,0,
303,1,-4058.75,-2732.5400390625,35.33010101318,0,0,0,10,0,0,0,0,0,0,228,0,
322,90,-312.20498657227,-4.63255977631,-148.65699768066,0,0,0,14,0,0,0,0,0,0,229,0,
324,0,-5154.9799804688,916.54901123047,287.39498901367,0,0,370,0,24,36,12,0.68760001659,1,0,230,0,
342,0,-9029.173828125,-608.32885742188,56.46789932251,0,0,0,30,0,0,0,0,0,0,231,0,
382,0,-8681.400390625,434.43899536133,99.25900268555,0,0,0,7,0,0,0,0,0,0,232,0,
422,1,-93.16139984131,1691.1500244141,89.06490325928,0,0,0,20,0,0,0,0,0,0,234,0,
442,1,-4664.6000976562,-2536.9299316406,82.66790008545,0,0,0,0,14.14000034332,14.14000034332,22,5.74300003052,1,0,235,0,
444,129,2593.9399414062,1124.6400146484,56.17900085449,0,0,0,11,0,0,0,0,0,0,236,0,
446,0,-10292.299804688,-3990.0200195312,-68,0,0,0,0,3,6,8,1.30700004101,1,0,237,0,
448,109,-303.87899780273,95.7566986084,-87,0,0,0,0,30,16,10,6.26900005341,1,0,238,0,
462,47,2107.7199707031,1823.7700195312,79.96959686279,0,0,0,10,0,0,0,0,0,0,248,0,
463,47,2165.75,1944.75,61.46350097656,0,0,0,15,0,0,0,0,0,0,249,0,
482,0,-8932.7802734375,-1986.4000244141,139.9049987793,0,0,0,12,0,0,0,0,0,0,250,0,
503,34,39.37409973145,0.80346900225,-12.78829956055,0,0,0,8,0,0,0,0,0,0,251,0,
522,1,-1679.3000488281,-4328.9599609375,2.58591008186,0,0,0,4,0,0,0,0,0,0,252,0,
523,0,-4914.9301757812,827.91497802734,271.14599609375,0,0,370,0,18,20,16,6.19099998474,1,0,253,0,
525,90,-717.86798095703,1.37206995487,-241.29299926758,0,0,0,12,0,0,0,0,0,0,254,0,
527,1,9947.48046875,2630.0400390625,1318.5999755859,0,0,0,10,0,0,0,0,0,0,255,0,
542,1,8393.7998046875,1003.9000244141,30.19120025635,0,0,0,10,0,0,0,0,0,0,256,0,
562,0,-9465.580078125,16.84720039368,-65.92099761963,0,0,0,30,0,0,0,0,0,0,257,0,
602,189,1687.5699462891,1040.0899658203,20.98290061951,0,0,0,8,0,0,0,0,0,0,258,0,
604,189,853.67901611328,1308.0999755859,19.67140007019,0,0,0,8,0,0,0,0,0,0,259,0,
606,189,1608.6500244141,-308.9700012207,20.78240013123,0,0,0,8,0,0,0,0,0,0,260,0,
608,189,253.60099792481,-186.80400085449,21.03849983215,0,0,0,0,30,32,10,0,1,0,261,0,
610,0,2925.1799316406,-820.54498291016,161.63400268555,0,0,0,8,0,0,0,0,0,0,262,0,
612,0,2877.9799804688,-839.26702880859,163.04899597168,0,0,0,6,0,0,0,0,0,0,263,0,
