--uniqueID,zoneID,areaID,
45,85,161,
71,40,108,
78,40,920,
84,0,0,
87,6170,9,
88,12,57,
95,2597,2597,
97,6457,135,
98,33,100,
100,6454,154,
101,1519,5390,
107,1519,5390,
109,717,717,
119,1581,1582,
121,1581,1582,
145,130,236,
168,6457,135,
169,6457,135,
171,38,38,
173,130,5386,
175,11,836,
178,267,280,
194,209,209,
196,33,301,
197,12,57,
205,215,360,
216,17,386,
217,6450,188,
218,141,141,
219,141,478,
220,141,264,
226,718,718,
228,17,17,
230,148,446,
231,148,148,
232,148,148,
233,148,2077,
234,148,455,
235,148,2077,
236,148,2077,
237,148,2077,
238,148,148,
242,491,491,
244,4709,4709,
246,400,400,
254,209,209,
255,209,209,
256,209,209,
257,148,2077,
259,719,719,
262,491,491,
283,719,719,
284,1519,5149,
286,38,923,
288,1337,1337,
302,15,503,
303,15,15,
322,721,721,
324,1,1,
342,12,54,
382,1519,5149,
422,405,405,
442,400,5092,
444,722,722,
446,8,74,
448,1477,1477,
462,491,491,
463,491,491,
482,44,95,
503,717,717,
522,17,720,
523,1,5495,
525,721,721,
527,1657,1657,
542,141,702,
562,12,87,
602,796,796,
604,796,796,
606,796,796,
608,796,796,
610,85,5511,
612,85,5511,
614,85,5511,
682,44,69,
702,1519,5154,
704,1519,5154,
707,10,42,
708,28,3197,
709,15,513,
710,1,131,
712,38,144,
715,141,186,
717,331,415,
719,85,159,
721,267,272,
722,215,222,
742,17,380,
743,17,392,
762,719,719,
802,11,150,
803,11,150,
822,1337,1337,
843,14,362,
844,8,75,
862,5287,35,
882,1337,1337,
902,3,1898,
922,1176,1176,
924,440,978,
942,400,400,
943,400,400,
944,400,400,
962,1176,1176,
1022,406,460,
1023,440,976,
1024,357,5072,
1042,47,349,
1064,2159,2159,
1103,33,117,
1104,721,721,
1105,721,721,
1125,1519,5151,
1205,47,355,
1306,1477,1477,
1326,1477,1477,
1387,16,1220,
1388,16,1220,
1446,4,2517,
1447,1176,1176,
1466,51,51,
1468,25,25,
1470,1583,1583,
1472,1584,1584,
1506,46,249,
1526,1584,1584,
1590,1584,1584,
1606,3,5565,
1626,2367,2367,
1628,1583,1583,
1646,45,321,
1667,15,503,
1686,1584,1584,
1726,490,1942,
1727,490,1942,
1728,490,1942,
1729,490,1942,
1730,490,1942,
1731,490,1942,
1732,490,1942,
1733,490,1942,
1734,490,1942,
1735,490,1942,
1736,490,1942,
1737,490,1942,
1738,490,1942,
1739,490,490,
1740,490,1942,
1746,1584,1584,
1766,490,1942,
1786,1584,1584,
1826,1584,1584,
1827,1584,1584,
1828,1584,1584,
1906,148,4663,
1926,1584,1584,
1946,1583,1583,
1966,148,2078,
1986,1583,1583,
1987,1583,1583,
2026,1583,1583,
2046,1583,1583,
2066,1583,1583,
2067,1583,1583,
2068,1583,1583,
2166,2257,2257,
2171,2257,2257,
2173,1519,5150,
2175,1,1,
2187,2017,5917,
2206,361,1766,
2207,361,1766,
2208,361,1766,
2209,2017,5916,
2210,2017,5916,
2211,618,2245,
2213,618,618,
2214,139,139,
2216,2017,2017,
2217,2017,2017,
2221,2017,5917,
2226,2437,2437,
2230,1637,1637,
2266,405,608,
2267,405,2408,
