--uniqueID,zoneID,areaID,
17#1,1583,1583,
17#2,1583,1583,
17#3,1583,1583,
17#4,1583,1583,
17#5,1583,1583,
17#6,1583,1583,
17#7,1583,1583,
17#8,1583,1583,
17#9,1583,1583,
17#10,1583,1583,
17#11,1583,1583,
17#12,1583,1583,
17#13,1583,1583,
17#14,1583,1583,
17#15,1583,1583,
17#16,1583,1583,
17#17,1583,1583,
17#18,1583,1583,
17#19,1583,1583,
17#20,1583,1583,
17#21,1583,1583,
17#22,1583,1583,
17#23,1583,1583,
17#24,1583,1583,
17#25,1583,1583,
17#26,1583,1583,
17#27,1583,1583,
17#28,1583,1583,
17#29,1583,1583,
17#30,1583,1583,
17#31,1583,1583,
17#32,1583,1583,
17#33,1583,1583,
17#34,1583,1583,
17#35,1583,1583,
17#36,1583,1583,
17#37,1583,1583,
17#38,1583,1583,
17#39,1583,1583,
17#40,1583,1583,
17#41,1583,1583,
129#1,3520,3520,
129#2,3520,3520,
129#3,3519,3519,
129#4,3519,3519,
129#5,3519,3519,
129#6,3519,3519,
129#7,3519,3519,
129#8,3519,3519,
129#9,3519,3519,
129#10,3519,3519,
129#11,3519,3519,
129#12,3519,3519,
129#13,3519,3519,
129#14,3519,3519,
129#15,3519,3519,
129#16,3519,3519,
129#17,3519,3519,
129#18,3519,3519,
129#19,3519,3519,
129#20,3519,3519,
129#21,3519,3519,
129#22,3519,3519,
129#23,3519,3519,
129#24,3519,3519,
129#25,3519,3519,
129#26,3519,3519,
129#27,3519,3519,
129#28,3519,3519,
129#29,3519,3519,
129#30,3519,3519,
129#31,3519,3519,
129#32,3519,3519,
129#33,3519,3519,
129#34,3519,3519,
129#35,3519,3519,
129#36,3519,3519,
129#37,3519,3519,
129#38,3519,3519,
129#39,3519,3519,
129#40,3519,3519,
129#41,3519,3519,
129#42,3519,3519,
129#43,3519,3519,
129#44,3519,3519,
129#45,3519,3519,
129#46,3519,3519,
129#47,3519,3519,
129#48,3519,3519,
129#49,3519,3519,
129#50,3519,3519,
129#51,3519,3519,
129#52,3519,3519,
129#53,3519,3519,
129#54,3519,3519,
129#55,3519,3519,
129#56,3519,3519,
