--uniqueID,zoneID,areaID,
21657#1#756540,3520,3758,
21657#2#756540,3520,3758,
21657#3#756540,3520,3758,
21657#4#756540,3520,3758,
21657#5#756540,3520,3758,
21657#6#756540,3520,3758,
21657#7#756540,3520,3758,
21657#8#756540,3520,3758,
21657#9#756540,3520,3520,
21657#10#756540,3520,3520,
21657#11#756540,3520,3758,
21657#12#756540,3520,3758,
21657#13#756540,3520,3758,
21657#14#756540,3520,3758,
21657#15#756540,3520,3939,
21657#16#756540,3520,3939,
21657#17#756540,3520,3939,
21657#18#756540,3520,3939,
21657#19#756540,3520,3939,
21657#20#756540,3520,3939,
21657#21#756540,3520,3939,
21657#22#756540,3520,3939,
21657#23#756540,3520,3939,
21657#24#756540,3520,3939,
21657#25#756540,3520,3939,
21657#26#756540,3520,3939,
21657#27#756540,3520,3939,
21657#28#756540,3520,3939,
21657#29#756540,3520,3939,
21657#30#756540,3520,3758,
21657#31#756540,3520,3758,
21657#32#756540,3520,3758,
21657#33#756540,3520,3758,
21657#34#756540,3520,3758,
21657#35#756540,3520,3758,
21657#36#756540,3520,3758,
21657#37#756540,3520,3758,
28500#1#1285770,4298,4356,
28500#2#1285770,4298,4342,
28500#3#1285770,4298,4342,
28500#4#1285770,4298,4342,
28500#5#1285770,4298,4342,
28500#6#1285770,4298,4342,
28500#7#1285770,4298,4342,
28500#8#1285770,4298,4342,
28500#9#1285770,4298,4342,
28500#10#1285770,4298,4342,
28500#11#1285770,4298,4342,
28500#12#1285770,4298,4342,
28500#13#1285770,4298,4342,
28500#14#1285770,4298,4342,
28500#15#1285770,4298,4342,
30830#1#434800,210,4593,
30830#2#434800,210,4593,
30830#3#434800,210,4593,
30830#4#434800,210,4593,
57754#1#120674,5736,5834,
57754#2#120674,5736,5834,
57754#3#120674,5736,5834,
57754#4#120674,5736,5834,
57754#5#120674,5736,5834,
57754#6#120674,5736,5834,
57754#7#120674,5736,5834,
57754#8#120674,5736,5834,
57754#9#120674,5736,5834,
57754#10#120674,5736,5834,
57754#11#120674,5736,5834,
57754#12#120674,5736,5834,
57754#13#120674,5736,5834,
57754#14#120674,5736,5834,
57754#15#120674,5736,5834,
57754#16#120674,5736,5834,
