--uniqueID,zoneID,areaID,
187853,148,452,
187852,148,452,
187851,148,452,
187850,148,452,
187849,148,452,
187848,148,452,
125623,66,4320,
125622,66,4320,
125621,66,4320,
125620,66,4320,
125619,66,4320,
125618,66,4320,
47641,1584,1584,
125617,66,4320,
125616,66,4320,
125615,66,4320,
125614,66,4320,
125613,66,4320,
125612,66,4320,
187847,148,452,
187846,148,452,
187845,148,452,
187844,148,452,
187843,148,452,
187842,148,452,
187841,148,452,
187840,148,452,
187839,148,452,
187838,148,452,
187837,148,452,
187836,148,452,
187835,148,452,
187834,148,452,
187833,148,452,
187832,148,452,
187831,148,452,
187830,148,452,
187829,148,452,
187828,148,452,
187827,148,452,
187826,148,452,
187825,148,452,
187824,148,452,
187823,148,452,
187822,148,452,
187821,148,452,
187820,148,452,
187819,148,452,
187818,148,452,
187817,148,452,
187816,148,452,
187815,148,452,
187814,148,452,
187813,148,452,
207585,3703,3899,
207583,3703,3703,
187812,148,452,
187811,148,452,
187810,148,452,
187809,148,452,
187808,148,452,
187807,148,452,
187806,148,452,
187805,148,148,
187804,148,452,
187803,148,148,
187802,148,452,
187801,148,452,
187800,148,452,
187799,148,452,
187798,148,452,
187797,148,452,
187796,148,452,
187795,148,452,
187794,148,452,
116,3715,3715,
118,3715,3715,
187793,148,452,
120,3715,3715,
187792,148,452,
187791,148,452,
187790,148,452,
187789,148,452,
187788,148,452,
187787,148,4659,
130,3519,3674,
187786,148,452,
187785,148,452,
187784,148,452,
187783,148,452,
187782,148,452,
187781,148,452,
187780,148,452,
187779,148,452,
187778,148,452,
187777,148,452,
187776,148,452,
187775,148,452,
187774,148,452,
187773,148,452,
187772,148,452,
187771,148,452,
187770,148,452,
187769,148,452,
187768,148,452,
187767,148,452,
187766,148,452,
187765,148,452,
187764,148,452,
187763,148,452,
187762,148,148,
187761,148,452,
187760,148,452,
187759,148,452,
187758,148,452,
187757,148,148,
187756,148,148,
187755,148,148,
187754,148,148,
187753,148,148,
187752,148,148,
187751,148,148,
187750,148,148,
187749,148,148,
187748,148,148,
187747,148,148,
187746,148,148,
187745,148,148,
187744,148,148,
187743,148,443,
187742,148,148,
187741,148,443,
187740,148,443,
187739,148,443,
187738,148,443,
187737,148,443,
187736,148,443,
187735,148,443,
187734,148,443,
187733,148,443,
187732,148,443,
187731,148,443,
187730,148,443,
187729,148,4664,
187728,148,4662,
187727,148,4662,
187726,148,4662,
187725,148,443,
187724,148,443,
187723,148,443,
187722,148,443,
187721,148,443,
187720,148,443,
187719,148,443,
187718,148,443,
187717,148,443,
187716,148,443,
187715,148,443,
187714,148,443,
187713,148,443,
187712,148,443,
187711,148,443,
187710,148,443,
187709,148,443,
187708,148,443,
187707,148,443,
187706,148,443,
187705,148,443,
187704,148,443,
187703,148,443,
187702,148,443,
187701,148,443,
187700,148,443,
187699,148,443,
187698,148,443,
187697,148,443,
187696,148,443,
187695,148,443,
187694,148,443,
187693,148,443,
187692,148,443,
187691,148,443,
187690,148,443,
187689,148,443,
187688,148,443,
187687,148,443,
187686,148,443,
187685,148,443,
187684,148,443,
187683,148,443,
187682,148,443,
187681,148,443,
187680,148,443,
187679,148,443,
187678,148,443,
187677,148,443,
187676,148,443,
187675,148,443,
223331,5789,5794,
187673,148,4702,
187672,148,443,
187671,148,443,
187670,148,443,
187669,148,443,
187668,148,443,
187667,148,443,
187666,148,443,
187665,148,443,
187664,148,443,
308,3715,3715,
187663,148,443,
187662,148,443,
187661,148,443,
187660,148,443,
187659,148,443,
317,3715,3715,
187658,148,443,
320,3715,3715,
187657,148,443,
187656,148,443,
187655,148,443,
189903,3,5497,
187653,148,443,
187652,148,443,
189904,3,5497,
187650,148,443,
187649,148,443,
187648,148,443,
187647,148,443,
187646,148,443,
187645,148,443,
187644,148,443,
187643,148,443,
187642,148,443,
187641,148,443,
