--uniqueID,zoneID,areaID,
99863,267,272,
30054,36,1684,
99864,17,1701,
92073,8,300,
92071,8,300,
190157,3557,3557,
409216,267,275,
405477,357,1108,
409215,33,33,
153321,10,10,
405476,11,298,
402416,85,157,
153320,10,2098,
47588,406,467,
402415,85,811,
409214,10,10,
92289,8,74,
19,1537,1537,
1890028,796,796,
88511,8,74,
1890029,796,796,
30381,8,74,
31036,8,74,
26,1537,1537,
27,1537,1537,
30740,8,8,
30635,8,74,
5680075,3805,3805,
57168,139,139,
91798,8,74,
91800,8,74,
89094,8,74,
88523,8,74,
88512,8,74,
402414,148,2077,
5305843,3524,3524,
405475,357,1117,
402413,85,85,
402412,85,812,
45,1537,1537,
47,1537,1537,
49,1537,1537,
51,1537,1537,
52,1537,1537,
53,1537,1537,
54,1537,1537,
56,1537,1537,
58,1537,1537,
60,1537,1537,
402429,148,2078,
402411,85,812,
409213,10,241,
409212,45,45,
409211,11,11,
402428,85,167,
405474,357,1120,
30986,8,300,
92072,8,300,
92074,8,300,
92077,8,300,
191837,8,116,
92075,8,300,
92076,8,300,
91799,8,74,
88518,8,74,
47587,406,469,
79,3525,3906,
30050,36,284,
30041,36,284,
47586,406,460,
162035,3521,3659,
162034,3521,3659,
406563,331,2359,
30037,36,284,
153319,10,536,
92,1537,1537,
94,1537,1537,
95,1537,1537,
50965,1638,1640,
31040,8,74,
30601,8,300,
30586,8,300,
152910,3525,3909,
153302,10,241,
30031,267,272,
30028,267,290,
427020,1377,3426,
405473,440,988,
170389,33,104,
110,1537,1537,
112,1537,1537,
114,1537,1537,
116,1537,1537,
117,1537,1537,
118,1537,1537,
119,1537,1537,
120,1537,1537,
121,1537,1537,
122,1537,1537,
123,1537,1537,
124,1537,1537,
125,1537,1537,
30606,8,300,
140232,45,318,
140231,45,318,
140230,45,318,
140242,45,318,
140241,45,318,
140603,45,45,
146464,405,405,
148429,357,3117,
154117,3521,3841,
154116,3519,3675,
140602,45,45,
146463,405,405,
148428,16,1256,
140601,45,45,
146462,406,467,
148427,361,2478,
190937,3521,3565,
190938,3703,3703,
190939,3703,3898,
190940,3522,3951,
190941,3523,3712,
190902,406,460,
190903,400,484,
190904,405,2408,
190905,15,496,
190906,357,1099,
190907,17,392,
190908,15,4010,
190909,440,976,
190910,618,2255,
190911,1377,3425,
190912,3524,3576,
190913,3557,3557,
190914,3525,3584,
190915,3483,3538,
190916,3483,3552,
140240,45,318,
140252,45,318,
140251,45,318,
140250,45,318,
7000,1377,3425,
7001,1377,3425,
7002,1377,3425,
190899,17,380,
190900,17,378,
190901,331,431,
190917,3521,3644,
190918,3521,3766,
190919,3519,3684,
190920,3518,3626,
190921,3522,3772,
190922,3522,3918,
190923,3520,3745,
190924,3430,3665,
190925,3430,3462,
190926,3487,3487,
140582,45,324,
146461,405,405,
140653,45,1858,
148426,16,1227,
140581,45,324,
146460,405,405,
140652,45,334,
148425,440,982,
140580,45,45,
146459,11,1025,
140651,45,45,
148424,440,982,
140594,45,328,
146458,405,405,
140650,45,313,
148423,16,1234,
140593,45,328,
351,1537,1537,
352,1537,1537,
146457,406,467,
140665,45,45,
148422,440,982,
140592,45,327,
146456,17,17,
140664,45,45,
148421,440,982,
140591,45,328,
405472,405,598,
153268,15,508,
171132,11,1022,
171131,11,1024,
171130,11,1022,
171129,11,1022,
171128,11,1024,
47585,406,467,
47584,406,460,
47583,406,467,
47582,406,460,
47581,406,467,
44861,85,2119,
44859,85,2119,
44858,85,2119,
44857,85,2119,
44856,85,2119,
44855,85,2119,
44853,85,2119,
44851,85,2119,
44850,85,2119,
44849,85,2119,
423035,1377,2743,
29995,267,286,
29994,267,286,
423,1537,1537,
47580,406,460,
47579,406,467,
30604,8,300,
99875,47,353,
403150,44,1000,
30582,8,74,
57117,85,152,
431,1537,1537,
30580,8,74,
433,1537,1537,
44848,85,2119,
140970,267,289,
423162,361,361,
403149,148,148,
191275,148,2077,
140971,267,289,
140972,267,289,
403148,11,1016,
457,1537,1537,
401691,1,804,
401690,85,164,
401689,85,163,
461,1537,1537,
401688,85,162,
463,1537,1537,
464,1537,1537,
403147,10,93,
401687,130,130,
401686,85,810,
401685,40,922,
403146,11,1020,
401684,85,167,
401683,141,478,
403145,10,799,
401682,141,141,
474,1537,1537,
401681,141,141,
182520,3483,3793,
401680,141,141,
401679,1,1,
50964,1637,1637,
480,1537,1537,
481,1537,1537,
401678,85,812,
403533,17,383,
403532,331,432,
50963,1637,1637,
403531,331,331,
403530,331,427,
403529,17,17,
403528,17,17,
403527,17,17,
403526,331,2457,
403525,17,17,
403524,130,927,
403523,130,130,
404122,10,536,
404121,40,40,
404120,40,40,
404119,40,40,
404118,10,242,
404117,406,465,
50962,1519,1519,
503,1537,1537,
404116,17,1699,
404115,148,2077,
404114,148,449,
404113,331,424,
403522,38,38,
5300261,4080,4080,
403521,130,233,
404112,331,437,
512,1537,1537,
404111,331,2457,
403520,44,1001,
516,1537,1537,
404110,10,10,
404109,10,492,
404108,331,331,
404107,331,422,
404106,331,2457,
404105,267,267,
404104,267,267,
524,1537,1537,
403519,267,285,
526,1537,1537,
527,1537,1537,
404103,331,421,
403518,11,11,
404102,10,94,
404101,17,388,
404100,267,275,
404099,331,437,
404098,10,1098,
535,1537,1537,
50961,1638,1640,
403517,44,95,
403516,130,305,
403515,44,71,
404097,44,1002,
403514,130,130,
404096,11,11,
50960,1637,1637,
544,1537,1537,
545,1537,1537,
403513,17,17,
547,1537,1537,
548,1537,1537,
404095,17,385,
404094,331,429,
404093,17,391,
404092,11,11,
50959,141,702,
50958,141,702,
404091,267,267,
556,1537,1537,
403512,17,17,
558,1537,1537,
50957,267,272,
404090,17,391,
404089,11,11,
404088,267,288,
115825,12,87,
404087,406,465,
565,1537,1537,
404086,11,1016,
567,1537,1537,
404085,148,452,
404084,148,443,
570,1537,1537,
404083,11,1016,
403511,40,2,
573,1537,1537,
574,1537,1537,
575,1537,1537,
403510,40,40,
404082,148,148,
403509,17,1701,
403508,38,142,
425178,139,2277,
50956,1638,1640,
403507,141,141,
404081,406,467,
1890030,796,796,
404080,130,130,
404079,267,288,
403506,148,2077,
403505,148,2077,
404078,130,231,
590,1537,1537,
404077,267,275,
592,1537,1537,
404076,11,1036,
404075,331,424,
404074,406,406,
596,1537,1537,
403504,148,148,
404073,11,1024,
404072,17,17,
404071,17,386,
406562,405,603,
603,1537,1537,
405471,357,1117,
405470,148,2078,
405469,357,1108,
141400,1377,1377,
403503,148,446,
405468,11,298,
611,1537,1537,
613,1537,1537,
115824,12,87,
405467,11,1039,
407246,406,461,
50955,1638,1640,
619,1537,1537,
407245,17,1701,
621,1537,1537,
50954,141,702,
407244,400,400,
50953,141,702,
407243,11,1036,
407242,33,1742,
407241,45,45,
628,1537,1537,
153579,3,347,
407240,33,126,
409210,33,1740,
409209,11,1025,
635,1537,1537,
636,1537,1537,
5306723,3430,3480,
50952,141,702,
640,1537,1537,
403502,44,1001,
5305788,3524,3916,
5306909,3433,3433,
5306908,3433,3433,
403501,148,2078,
50951,1637,1637,
5305787,3524,3524,
403500,148,450,
403499,406,465,
403498,40,919,
403497,17,388,
404572,331,331,
410018,8,1798,
410017,15,511,
658,1537,1537,
5305786,3524,3524,
5305842,3524,3524,
5305841,3524,3524,
410016,11,11,
664,1537,1537,
666,1537,1537,
5307162,3433,3433,
5305840,3524,3916,
670,1537,1537,
5305839,3524,3916,
673,1537,1537,
674,1537,1537,
675,1537,1537,
50950,1537,1537,
410015,45,317,
191274,148,2078,
410014,47,350,
682,1537,1537,
683,1537,1537,
404070,267,267,
404069,17,1699,
693,1537,1537,
694,1537,1537,
410013,15,502,
50949,1537,1537,
410012,8,1777,
701,1537,1537,
410011,45,45,
50948,1537,1537,
707,1537,1537,
50947,1497,1497,
410010,11,309,
410009,11,11,
410008,11,11,
410007,11,1023,
50946,1497,1497,
717,1537,1537,
719,1537,1537,
720,1537,1537,
50945,1638,1640,
50944,1637,1637,
50943,1537,1537,
50942,1,131,
410006,11,1023,
162190,3521,3653,
50940,3483,3483,
170374,33,104,
735,1537,1537,
736,1537,1537,
737,1537,1537,
50939,1497,1497,
740,1537,1537,
741,1537,1537,
742,1537,1537,
746,1537,1537,
749,1537,1537,
50938,47,307,
755,1537,1537,
115823,12,87,
410005,357,357,
191273,148,2078,
760,1537,1537,
761,1537,1537,
762,1537,1537,
50937,130,130,
768,1537,1537,
9804,1638,1638,
410004,11,1024,
410003,36,1684,
773,1537,1537,
50936,267,272,
777,1537,1537,
191272,148,2077,
779,1537,1537,
780,1537,1537,
191271,148,2078,
786,1537,1537,
410002,36,36,
790,1537,1537,
191270,148,450,
794,1537,1537,
797,1537,1537,
798,1537,1537,
800,1537,1537,
803,1537,1537,
804,1537,1537,
805,1537,1537,
410001,267,267,
50935,3483,3483,
50934,46,250,
410000,33,1578,
50933,12,87,
814,1537,1537,
815,1537,1537,
816,1537,1537,
5305785,3524,3566,
821,1537,1537,
50932,45,321,
50931,45,320,
825,1,809,
826,1537,1537,
827,1537,1537,
829,1537,1537,
835,1537,1537,
837,1537,1537,
838,1537,1537,
839,1537,1537,
50930,40,108,
50929,267,267,
417077,139,139,
409606,400,439,
50928,405,608,
848,1537,1537,
5306907,3433,3433,
5306906,3433,3433,
50927,3519,3519,
856,1537,1537,
412138,33,1577,
412137,33,1740,
860,1537,1537,
50926,3703,3703,
862,1537,1537,
50925,1537,1537,
866,1537,1537,
867,1537,1537,
870,1537,1537,
5306905,3433,3433,
50924,1497,1497,
50923,1637,1637,
50922,17,458,
50921,400,484,
412136,33,1740,
412135,33,33,
412134,33,33,
412133,33,310,
412132,33,1577,
412131,33,1577,
412130,45,45,
412129,33,1578,
412128,33,33,
412127,36,281,
409208,33,33,
5306904,3433,3433,
409605,267,288,
50920,38,38,
412126,8,300,
50919,3,340,
50918,4,1438,
50917,10,42,
412125,8,8,
5306903,3433,3499,
412124,8,657,
412123,8,1798,
5306902,3433,3516,
5306901,3433,3433,
412122,33,37,
50916,11,11,
50915,47,348,
5306814,3430,3467,
50914,44,44,
920,1537,1537,
921,1537,1537,
922,1537,1537,
924,1537,1537,
925,1537,1537,
926,1537,1537,
412121,33,301,
412120,33,1577,
50913,3521,3521,
412119,33,311,
938,1537,1537,
5306813,3430,3465,
5306171,3525,3601,
948,1537,1537,
949,1537,1537,
115822,12,12,
50912,3518,3518,
5305784,3524,3566,
5305783,3524,3524,
115821,12,87,
50911,3483,3483,
115820,12,87,
115819,12,12,
50910,8,75,
50909,15,496,
115818,12,87,
170373,33,104,
969,1537,1537,
412118,33,302,
412117,45,45,
50908,357,357,
50907,405,598,
115817,12,87,
412116,33,1741,
412115,33,1741,
50906,15,15,
50905,148,442,
987,1,809,
50904,331,431,
50903,331,415,
991,1,809,
412114,33,1577,
5307161,3433,3517,
412113,33,1577,
412112,33,33,
5305838,3524,3916,
5305837,3524,3524,
5305836,3524,3524,
1010,1,1,
50902,141,186,
1014,1,1,
1015,1,1,
1016,1,1,
1017,1,1,
412111,33,103,
412110,33,103,
1021,1,1,
1022,1,1,
1023,1,131,
412109,33,103,
5307160,3433,3517,
412108,33,103,
1029,1,131,
1031,1,2102,
1033,1,2102,
409604,8,8,
1036,1,2102,
1037,1,2102,
1038,1,2102,
5305835,3524,3524,
5305834,3524,3524,
1041,1,2102,
412107,33,103,
1044,1,2102,
1045,1,2102,
409603,8,1778,
50901,406,460,
412106,33,105,
412105,33,33,
412104,8,1777,
409602,331,437,
412103,33,33,
1056,1,2102,
1057,1,2102,
1059,1,2102,
1061,1,2102,
1062,1,2102,
412102,33,122,
417076,28,190,
417075,28,190,
417074,28,813,
5305833,3524,3524,
47542,406,464,
5305832,3524,3524,
1071,1,2102,
1072,1,131,
1073,1,2102,
1074,1,131,
1075,1,2102,
1077,1,2102,
1081,1,2102,
1084,1,131,
5305831,3524,3524,
5305830,3524,3524,
1091,1,131,
417073,28,28,
1094,1,131,
417072,139,2277,
417071,361,1767,
417070,361,1766,
1098,1,131,
5305829,3524,3524,
417069,361,2618,
417068,139,139,
1104,1,131,
5305828,3524,3524,
417067,361,361,
1109,1,131,
1110,1,131,
47532,406,464,
1112,1,131,
1114,1,131,
417066,361,361,
1118,1,131,
1119,1,131,
1120,1,131,
1121,1,131,
1122,1,131,
50900,3703,3703,
1125,1,131,
1126,1,131,
1127,1,2102,
417065,139,139,
417064,361,361,
5305827,3524,3524,
417063,139,139,
1136,1,2102,
1140,1,131,
417062,139,2275,
1144,1,2102,
417061,28,813,
417060,361,2618,
1154,1,131,
417059,28,199,
5306253,3525,3592,
423161,361,1761,
417058,28,197,
417057,361,1763,
417056,139,139,
423160,2557,3217,
417055,28,193,
417054,361,2481,
412269,3,1878,
417053,28,202,
417052,28,192,
1173,1,1,
1175,1,1,
423159,490,538,
417051,28,28,
402329,14,14,
417050,28,201,
402328,141,264,
417049,28,28,
402327,141,141,
417048,28,201,
417047,28,28,
417046,28,193,
402326,215,215,
417045,28,200,
50899,3483,3483,
417044,28,193,
1190,1,800,
1191,1,800,
402325,215,215,
402324,141,259,
1194,1,132,
1195,1,132,
417043,28,193,
402323,141,141,
402322,141,141,
402321,38,38,
417042,28,190,
402320,14,14,
1202,1,132,
1203,1,132,
1205,1,132,
1206,1,132,
1207,1,132,
1208,1,132,
417041,139,139,
1210,1,132,
1212,1,132,
182822,3521,3521,
1214,1,132,
1216,1,132,
1217,1,132,
402319,141,141,
417040,28,28,
1220,1,132,
402318,14,14,
47515,406,464,
1223,1,132,
402317,14,369,
402316,17,17,
1226,1,132,
417039,139,2263,
402315,215,404,
417038,139,2271,
402314,14,816,
402313,85,811,
182821,3521,3521,
402312,14,816,
402311,1,804,
1235,1,132,
1236,1,132,
1237,1,132,
417037,28,200,
1239,1,132,
1240,1,132,
417036,28,193,
417035,139,2271,
417034,139,2624,
47514,406,464,
402310,148,449,
402309,14,14,
402308,14,14,
417033,139,139,
402307,17,1700,
1251,1,132,
1252,1,132,
402306,215,821,
402305,14,14,
402304,215,225,
402303,215,215,
402302,141,141,
402301,215,215,
142290,47,354,
417032,139,139,
417031,139,2268,
142291,47,354,
1263,1,132,
142292,47,354,
142293,47,354,
1266,1,132,
142294,47,354,
141290,4,72,
141291,4,72,
141292,4,72,
141293,4,72,
141294,4,72,
141295,4,72,
141300,4,4,
141301,4,1439,
141302,4,4,
141303,4,4,
141304,4,4,
141305,4,4,
141310,4,4,
141311,4,4,
141312,4,1441,
141313,4,1441,
141314,4,1441,
141320,4,2517,
141321,4,4,
141322,4,4,
141323,4,4,
141324,4,1440,
141330,4,1437,
141331,4,1437,
141332,4,1439,
141333,4,4,
141334,4,1438,
191825,40,2,
141050,4,1437,
141051,4,1437,
141052,4,4,
141053,4,1439,
141054,4,4,
141060,4,4,
141061,4,4,
141271,47,307,
141272,47,307,
141273,47,307,
191827,40,20,
191828,40,20,
191829,40,20,
191830,17,381,
191831,17,381,
191832,17,381,
191833,17,381,
153578,405,603,
153577,33,104,
154355,3523,3734,
154354,3523,3730,
154353,3522,3783,
154352,3522,3781,
154350,3518,3637,
404423,11,1025,
404422,130,130,
404421,130,231,
404420,130,130,
404419,130,130,
404418,17,1700,
404417,44,97,
404571,38,38,
404570,148,2077,
404569,44,1000,
404568,17,383,
404567,17,383,
404566,17,17,
404565,331,331,
404564,38,143,
403496,14,369,
403495,17,383,
47504,406,2537,
47503,406,464,
412268,3,346,
403494,406,2538,
403493,40,40,
403492,17,1701,
417030,139,139,
403491,406,2538,
412267,16,1236,
412266,45,45,
47502,406,2537,
403490,38,143,
47501,406,464,
1361,1,132,
1362,1,132,
403489,17,17,
47486,406,2537,
47481,406,1076,
403488,148,449,
403487,40,2,
403486,40,2,
403485,331,418,
1370,1,132,
403484,406,464,
403483,17,383,
403482,331,412,
417029,361,2478,
403481,11,1020,
403480,130,130,
409207,406,467,
412265,36,281,
47480,406,1076,
1380,1,132,
412264,36,281,
47468,406,1076,
1383,1,132,
412263,357,2522,
412262,357,2522,
1386,1,132,
1387,1,132,
403479,148,148,
403478,14,816,
412261,357,2522,
403477,11,11,
1393,1,132,
1394,1,132,
403476,130,230,
412260,357,357,
154349,3518,3622,
403475,267,267,
403474,148,444,
412259,357,2519,
412258,3,1878,
1402,1,132,
1403,1,132,
403473,141,266,
412257,33,103,
55180,3703,3703,
1408,1,132,
47465,406,1076,
403472,11,1024,
403471,148,452,
403470,17,1700,
403469,130,172,
403468,130,130,
403467,331,331,
403466,11,11,
412256,15,511,
403465,406,461,
404416,17,17,
191310,38,149,
1421,1,132,
1422,1,132,
1423,1,132,
47459,406,1076,
47458,406,460,
1426,1,132,
47457,406,1076,
404415,148,2077,
404414,406,406,
50898,3,340,
412255,45,333,
404413,17,388,
404412,17,1699,
1435,1,132,
412254,45,313,
1437,1,132,
162191,3521,3653,
404411,331,2457,
404410,267,267,
50896,10,42,
50895,3518,3518,
1443,1,132,
1444,1,132,
1445,1,132,
1446,1,132,
1447,1,132,
1448,1,132,
1449,1,132,
417028,361,1767,
404409,38,38,
1452,1,132,
412253,33,1737,
154348,3523,3734,
404408,148,447,
412252,33,477,
50894,130,130,
47456,406,1076,
404407,267,267,
412251,33,105,
50893,267,272,
191529,10,42,
417027,361,2480,
404406,17,1702,
50892,38,38,
50891,12,87,
404405,17,17,
404404,17,17,
412250,33,105,
404403,17,386,
404402,38,38,
404401,17,1701,
417026,361,1761,
404400,17,378,
404399,11,1025,
412249,15,15,
50890,4,1438,
412248,45,321,
417025,139,139,
404398,406,461,
404397,267,286,
412247,45,45,
1483,1537,1537,
404396,130,130,
1486,1537,1537,
412246,45,45,
404395,17,1700,
50889,45,321,
404394,148,148,
412245,45,334,
50888,45,320,
412244,36,1357,
417024,28,202,
