--uniqueID,zoneID,areaID,
97103#1,3703,3703,
97103#2,3703,3703,
97103#3,3703,3703,
97103#4,3703,3703,
97103#5,3703,3899,
97103#6,3703,3899,
97103#7,3703,3899,
97103#8,3703,3899,
97103#9,3703,3899,
97103#10,3703,3899,
97103#11,3703,3899,
97103#12,3703,3703,
97103#13,3703,3703,
97103#14,3703,3703,
97103#15,3703,3899,
97103#16,3703,3899,
97103#17,3703,3899,
97103#18,3703,3899,
97103#19,3703,3899,
97103#20,3703,3899,
97103#21,3703,3899,
97103#22,3703,3899,
97103#23,3703,3899,
97103#24,3703,3899,
97103#25,3703,3899,
97103#26,3703,3899,
97103#27,3703,3899,
97103#28,3703,3703,
97103#29,3703,3703,
97103#30,3703,3703,
97103#31,3703,3899,
97103#32,3703,3703,
97103#33,3703,3703,
97103#34,3703,3703,
97103#35,3703,3899,
97103#36,3703,3899,
97103#37,3703,3899,
97103#38,3703,3899,
97103#39,3703,3899,
97103#40,3703,3899,
97103#41,3703,3899,
97103#42,3703,3899,
97103#43,3703,3899,
97103#44,3703,3899,
97103#45,3703,3899,
97103#46,3703,3703,
97103#47,3703,3703,
97103#48,3703,3703,
97103#49,3703,3703,
97103#50,3703,3703,
97103#51,3703,3703,
97103#52,3703,3703,
97103#53,3703,3899,
97103#54,3703,3899,
97103#55,3703,3899,
97103#56,3703,3899,
97103#57,3703,3899,
97103#58,3703,3899,
97103#59,3703,3899,
97103#60,3703,3899,
97103#61,3703,3899,
97103#62,3703,3899,
97103#63,3703,3899,
97103#64,3703,3899,
97103#65,3703,3703,
97103#66,3703,3703,
97103#67,3703,3703,
97103#68,3703,3703,
97103#69,3703,3703,
97103#70,3703,3703,
5600353#77,2367,2367,
5600353#76,2367,2367,
5600353#75,2367,2367,
70615#2,3523,3712,
5600353#74,2367,2367,
70615#3,3523,3712,
5600353#73,2367,2367,
5600353#72,2367,2367,
5600353#71,2367,2367,
5600353#70,2367,2367,
5600353#69,2367,2367,
5600353#68,2367,2367,
5600353#67,2367,2367,
5600353#66,2367,2367,
5600353#65,2367,2367,
5600353#64,2367,2367,
5600353#63,2367,2367,
5309287#32,3519,3697,
5309287#31,3519,3697,
5309287#30,3519,3697,
5309287#29,3519,3697,
5309287#28,3519,3697,
5309287#27,3519,3697,
5309287#26,3519,3697,
96594#1,3703,3703,
96594#2,3703,3703,
96594#3,3703,3703,
96594#4,3703,3703,
96594#5,3703,3703,
96594#6,3703,3703,
96594#7,3703,3703,
96594#8,3703,3703,
57575#21,3483,3536,
57575#22,3483,3536,
57575#23,3483,3536,
57575#24,3483,3536,
57575#25,3483,3536,
57575#26,3483,3536,
57576#1,3483,3536,
57576#2,3483,3536,
57576#3,3483,3536,
57576#4,3483,3536,
57576#5,3483,3536,
57576#6,3483,3536,
94492#14,2257,2257,
94492#13,2257,2257,
94492#12,2257,2257,
94492#11,2257,2257,
94492#10,2257,2257,
94492#9,2257,2257,
94492#8,2257,2257,
94492#7,2257,2257,
94492#6,2257,2257,
94492#5,2257,2257,
94492#4,2257,2257,
94492#3,2257,2257,
94492#2,2257,2257,
94492#1,2257,2257,
94491#6,2257,2257,
94491#5,2257,2257,
94491#4,2257,2257,
94491#3,2257,2257,
94491#2,2257,2257,
94491#1,2257,2257,
158021#2,17,17,
158021#1,17,17,
158020#2,17,17,
158020#1,17,17,
70615#1,3523,3712,
5300429#1,4080,4087,
5300429#2,4080,4087,
5300429#3,4080,4087,
5300429#4,4080,4087,
5300429#5,4080,4087,
5300429#6,4080,4087,
5300429#7,4080,4087,
5300429#8,4080,4087,
5300429#9,4080,4087,
5300429#10,4080,4087,
5300429#11,4080,4087,
5300429#12,4080,4087,
5300429#13,4080,4087,
5300429#14,4080,4087,
5300429#15,4080,4087,
5300429#16,4080,4087,
5300429#17,4080,4087,
5300429#18,4080,4087,
5300429#19,4080,4087,
5300429#20,4080,4087,
5300429#21,4080,4087,
5300119#1,4080,4090,
1021#15,1,132,
5300126#1,4080,4089,
5301583#1,4080,4086,
5300125#1,4080,4090,
5301584#1,4080,4086,
5300120#1,4080,4090,
1021#14,1,132,
1021#13,1,132,
1021#12,1,132,
5300121#1,4080,4090,
5301586#1,4080,4086,
5300122#1,4080,4090,
5301585#1,4080,4086,
5300123#1,4080,4089,
1021#11,1,132,
1021#10,1,132,
1021#9,1,132,
5300124#1,4080,4090,
5600353#62,2367,2367,
5600353#61,2367,2367,
5600353#60,2367,2367,
5600353#59,2367,2367,
5600353#58,2367,2367,
5600353#57,2367,2367,
5600353#56,2367,2367,
5600353#55,2367,2367,
5600353#54,2367,2367,
5600353#53,2367,2367,
5600353#52,2367,2367,
5600353#51,2367,2367,
5600353#50,2367,2367,
5600353#49,2367,2367,
5600353#48,2367,2367,
5600353#47,2367,2367,
5600353#46,2367,2367,
5600353#45,2367,2367,
5600353#44,2367,2367,
5600353#43,2367,2367,
5600353#42,2367,2367,
5600353#41,2367,2367,
5600353#40,2367,2367,
5600353#39,2367,2367,
5600353#38,2367,2367,
5600353#37,2367,2367,
5600353#36,2367,2367,
5600353#35,2367,2367,
5600353#34,2367,2367,
5600353#33,2367,2367,
5600353#32,2367,2367,
5600353#31,2367,2367,
5600353#30,2367,2367,
5600353#29,2367,2367,
5600353#28,2367,2367,
5600353#27,2367,2367,
5600353#26,2367,2367,
5600353#25,2367,2367,
5600353#24,2367,2367,
5600353#23,2367,2367,
5600353#22,2367,2367,
5600353#21,2367,2367,
5600353#20,2367,2367,
5600353#19,2367,2367,
5600353#18,2367,2367,
5600353#17,2367,2367,
5600353#16,2367,2367,
5600353#15,2367,2367,
5600353#14,2367,2367,
5600353#13,2367,2367,
5600353#12,2367,2367,
5600353#11,2367,2367,
5600353#10,2367,2367,
5600353#9,2367,2367,
5600353#8,2367,2367,
5600353#7,2367,2367,
5600353#6,2367,2367,
5600353#5,2367,2367,
5600353#4,2367,2367,
5600353#3,2367,2367,
5600353#2,2367,2367,
5600353#1,2367,2367,
5600351#45,2367,2367,
5600351#44,2367,2367,
5600351#43,2367,2367,
5600351#42,2367,2367,
5600351#41,2367,2367,
5600351#40,2367,2367,
5600351#39,2367,2367,
5600351#38,2367,2367,
