--uniqueID,zoneID,areaID,
1225#1#0,38,936,
1225#2#0,38,936,
1225#3#0,38,936,
1225#4#0,38,936,
1225#5#0,38,936,
1225#6#0,38,936,
1225#7#0,38,936,
1225#8#0,38,936,
1225#9#0,38,936,
1225#10#0,38,936,
1225#11#0,38,936,
1225#12#0,38,936,
1225#13#0,38,936,
1225#14#0,38,936,
1225#15#0,38,936,
1225#16#0,38,936,
1225#17#0,38,936,
1225#18#0,38,936,
1225#19#0,38,936,
1225#20#0,38,936,
1225#21#0,38,936,
1225#22#0,38,936,
1225#23#0,38,936,
1225#24#0,38,936,
1225#25#0,38,936,
1225#26#0,38,936,
1225#27#0,38,936,
1225#28#0,38,936,
1225#29#0,38,936,
1225#30#0,38,936,
1225#31#0,38,936,
14857#45#0,17,17,
14857#44#0,17,17,
14857#43#0,17,17,
14857#42#0,17,17,
14857#41#0,17,17,
14857#40#0,17,17,
14857#49#0,17,17,
14857#38#0,17,17,
14857#37#0,17,17,
14857#36#0,17,458,
14857#35#0,17,458,
14857#34#0,17,17,
14857#33#0,17,17,
14857#32#0,17,17,
14857#31#0,17,17,
14857#30#0,17,17,
14857#29#0,17,17,
14857#28#0,17,17,
14857#27#0,17,17,
14857#26#0,17,17,
14857#25#0,17,17,
14857#24#0,17,17,
14857#23#0,17,17,
14857#22#0,17,17,
14857#21#0,17,17,
14857#20#0,17,17,
14857#19#0,17,17,
14857#18#0,17,17,
14857#17#0,17,17,
14857#16#0,17,17,
14857#15#0,17,17,
14857#14#0,17,17,
14857#13#0,17,17,
14857#12#0,17,17,
14857#11#0,17,17,
14857#10#0,17,17,
14857#9#0,17,17,
14857#8#0,17,17,
14857#7#0,17,17,
14857#6#0,17,17,
14857#5#0,17,17,
14857#4#0,17,17,
14857#3#0,17,17,
14857#2#0,17,17,
14857#1#0,17,17,
14850#1#0,17,17,
14850#2#0,17,17,
14850#3#0,17,17,
14850#4#0,17,17,
14850#5#0,17,17,
14850#6#0,17,17,
14850#7#0,17,17,
14850#8#0,17,17,
14850#9#0,17,17,
14850#10#0,17,17,
14850#11#0,17,17,
14850#12#0,17,17,
14850#13#0,17,17,
14850#14#0,17,17,
14850#15#0,17,17,
14850#16#0,17,17,
14850#17#0,17,17,
14850#18#0,17,17,
14850#19#0,17,17,
14850#20#0,17,17,
14850#21#0,17,17,
14850#22#0,17,17,
14850#23#0,17,17,
14850#24#0,17,17,
14850#25#0,17,17,
14850#26#0,17,17,
14850#27#0,17,17,
14850#28#0,17,17,
14850#29#0,17,17,
14873#44#0,17,1704,
14873#43#0,17,1704,
14873#42#0,17,1704,
14873#41#0,17,1704,
14873#40#0,17,1704,
14873#39#0,17,1704,
