--uniqueID,zoneID,areaID,
99863,267,272,
30054,36,1684,
99864,17,1701,
92073,8,300,
92071,8,300,
14020,1519,1519,
30770,8,1778,
30768,8,1778,
30767,8,1778,
47590,406,468,
30765,8,8,
30761,8,8,
47589,406,468,
47588,406,467,
30746,8,1798,
30745,8,657,
30744,8,74,
19,1537,1537,
6280088,0,0,
30743,8,74,
6280087,0,0,
30742,8,74,
30741,8,74,
26,1537,1537,
27,1537,1537,
30740,8,8,
30739,8,74,
77771,8,300,
71960,4,1457,
77772,8,300,
30645,8,300,
30643,8,74,
30642,8,74,
30638,8,74,
30636,8,74,
30635,8,74,
30634,8,74,
30632,8,1798,
30629,8,8,
30628,8,8,
30626,8,8,
30625,8,1778,
45,1537,1537,
47,1537,1537,
49,1537,1537,
51,1537,1537,
52,1537,1537,
53,1537,1537,
54,1537,1537,
56,1537,1537,
58,1537,1537,
60,1537,1537,
30624,8,1798,
30621,8,1777,
30618,8,8,
30616,8,116,
30615,8,1777,
30610,8,74,
30607,8,8,
30986,8,300,
92072,8,300,
92074,8,300,
92077,8,300,
30599,8,76,
92075,8,300,
92076,8,300,
30594,8,74,
30593,8,74,
47587,406,469,
79,3525,3906,
30050,36,284,
30041,36,284,
47586,406,460,
71959,4,1457,
71958,4,1457,
30917,3520,3743,
30037,36,284,
30036,267,286,
92,1537,1537,
94,1537,1537,
95,1537,1537,
50965,1638,1640,
30587,8,74,
30601,8,300,
30586,8,300,
75507,267,1056,
75390,267,275,
30033,267,1056,
30032,267,290,
30031,267,272,
75389,267,275,
30028,267,290,
30026,267,267,
30025,267,275,
501792,0,0,
110,1537,1537,
112,1537,1537,
114,1537,1537,
116,1537,1537,
117,1537,1537,
118,1537,1537,
119,1537,1537,
120,1537,1537,
121,1537,1537,
122,1537,1537,
123,1537,1537,
124,1537,1537,
125,1537,1537,
30606,8,300,
71863,4,72,
128,361,1767,
71864,4,1440,
73200,46,254,
78123,47,355,
132,618,2256,
133,1377,3427,
134,1377,1377,
135,1377,1377,
136,1377,1377,
137,440,440,
138,1377,1377,
139,1377,1377,
140,1377,1377,
141,1377,1377,
142,1377,1377,
143,1377,2744,
144,361,1767,
145,440,980,
155514,1637,1637,
147,1377,1377,
148,440,988,
149,440,440,
73201,46,254,
73202,46,254,
152,1377,3426,
71865,4,1440,
76285,51,51,
162328,3518,3621,
300268,36,279,
157,1377,2744,
158,361,1767,
73203,46,254,
78122,47,355,
77830,8,116,
162,440,985,
163,440,982,
74608,139,2623,
155520,1637,1637,
166,618,2252,
167,618,2252,
168,440,982,
169,490,538,
73204,46,254,
171,1377,2744,
172,361,361,
71866,4,1440,
162329,3518,3621,
76284,51,51,
176,490,1942,
73205,46,254,
178,490,490,
179,440,1938,
180,440,980,
73206,46,252,
182,440,982,
73207,46,252,
184,440,2300,
185,618,2252,
186,1377,2742,
187,440,1336,
73208,46,252,
189,440,1336,
73209,46,252,
191,361,1762,
192,440,980,
193,440,988,
73210,46,252,
195,1377,2744,
196,440,440,
74609,139,2623,
198,440,1937,
199,440,1937,
200,1377,2742,
74610,139,2265,
202,440,1336,
73211,46,252,
204,1377,3426,
77829,8,116,
206,490,1942,
73212,46,252,
208,440,982,
209,490,540,
210,618,2256,
211,440,440,
212,490,540,
213,490,1943,
214,440,983,
73213,46,252,
71867,4,1440,
217,440,1937,
300269,36,279,
73214,46,252,
220,618,2252,
71868,4,72,
222,1377,3098,
223,1377,2742,
224,361,1764,
225,361,1763,
71869,4,72,
71870,4,72,
228,361,361,
229,440,982,
71871,4,72,
74611,139,2265,
155521,1637,1637,
73215,46,252,
234,1377,2742,
235,1377,2742,
71872,4,1440,
73216,46,252,
238,618,2256,
239,618,2256,
240,490,538,
241,440,1938,
73217,46,252,
243,1377,2742,
76283,51,51,
71873,4,1440,
246,618,2256,
73218,46,250,
248,490,1942,
249,490,1942,
250,361,1998,
251,361,361,
71874,4,1440,
162330,3518,3621,
254,1377,2738,
300270,36,279,
71875,4,1440,
257,1377,2742,
76282,51,1442,
259,361,1998,
155522,1637,1637,
261,440,440,
73219,46,250,
263,361,1763,
74612,139,2265,
265,440,982,
266,440,988,
76281,51,1442,
162331,3518,3621,
269,361,1762,
73220,46,250,
73221,46,250,
272,440,985,
273,440,1336,
71876,4,2517,
275,440,985,
71877,4,2517,
277,440,988,
278,361,1762,
279,361,1767,
280,490,542,
71878,4,2517,
282,490,1942,
300271,36,279,
284,440,1336,
73222,46,250,
286,490,490,
287,618,2256,
288,440,980,
71879,4,2517,
290,440,440,
291,361,361,
292,618,2252,
293,618,2250,
294,1377,2744,
155523,1637,1637,
78121,47,355,
162332,3518,3621,
71880,4,1440,
299,490,542,
300,490,1943,
301,361,1998,
302,440,982,
73223,46,250,
304,440,985,
73224,46,46,
306,361,2618,
300272,36,279,
308,490,1943,
309,361,361,
310,440,983,
311,361,1764,
312,440,982,
313,1377,1377,
314,361,1768,
315,490,538,
316,440,1937,
317,490,1942,
71881,4,1440,
319,1377,2742,
73225,46,46,
321,440,988,
322,440,979,
323,440,2300,
76280,51,1442,
73226,46,46,
326,1377,2742,
327,440,1336,
155524,1637,1637,
73227,46,46,
330,440,1336,
78120,47,355,
78119,47,355,
333,440,440,
71882,4,1440,
335,1377,1377,
336,490,538,
162333,3518,3621,
338,490,540,
339,440,982,
340,618,2256,
341,1377,2742,
73228,46,46,
343,1377,1377,
71883,4,1440,
345,490,490,
346,440,985,
71884,4,72,
348,618,2256,
78118,47,1887,
350,440,1937,
351,1537,1537,
352,1537,1537,
353,490,1943,
78117,47,1887,
355,361,1766,
71885,4,72,
357,440,440,
358,618,2249,
15427,490,540,
78116,47,1887,
73229,46,46,
71886,4,72,
76279,51,1442,
71887,4,72,
73230,46,250,
366,440,980,
367,490,1942,
300273,36,279,
369,440,2300,
73231,46,250,
71888,4,1441,
372,361,2481,
76278,51,1442,
374,490,490,
375,361,1767,
376,440,982,
377,490,542,
378,440,440,
73232,46,250,
71889,4,1441,
381,361,361,
382,361,361,
383,490,538,
384,618,2249,
385,440,979,
386,1377,2743,
73233,46,250,
30023,267,267,
30020,267,289,
30018,267,275,
30017,267,267,
30012,267,275,
30008,267,275,
30007,267,275,
30006,267,275,
30005,267,275,
47585,406,467,
47584,406,460,
47583,406,467,
47582,406,460,
47581,406,467,
44861,85,2119,
44859,85,2119,
44858,85,2119,
44857,85,2119,
44856,85,2119,
44855,85,2119,
44853,85,2119,
44851,85,2119,
44850,85,2119,
44849,85,2119,
29998,267,288,
29997,36,1680,
29996,267,289,
29995,267,286,
29994,267,286,
75388,267,275,
423,1537,1537,
47580,406,460,
47579,406,467,
30604,8,300,
99875,47,353,
42962,130,239,
30582,8,74,
66338,357,2577,
431,1537,1537,
30580,8,74,
433,1537,1537,
44848,85,2119,
29635,267,289,
122270,3557,3557,
191284,148,444,
29627,267,289,
29625,267,289,
100042,11,1021,
100041,11,1021,
100040,11,1021,
100039,11,1021,
100038,11,1021,
100037,11,1021,
100036,11,1021,
100035,11,1021,
100034,11,1021,
100033,11,1021,
100032,11,1021,
100031,11,1021,
100030,11,1021,
456,40,2,
457,1537,1537,
458,148,454,
459,148,444,
460,148,148,
461,1537,1537,
462,17,17,
463,1537,1537,
464,1537,1537,
465,85,159,
466,14,1296,
467,14,1296,
468,14,816,
469,40,219,
470,148,449,
471,148,148,
472,40,40,
473,17,17,
474,1537,1537,
475,14,816,
476,148,148,
477,215,820,
478,148,148,
50964,1637,1637,
480,1537,1537,
481,1537,1537,
482,17,1704,
483,215,820,
484,17,1156,
50963,1637,1637,
486,14,1296,
487,14,1296,
488,17,383,
489,17,383,
490,148,456,
491,130,130,
493,148,452,
494,148,148,
495,148,148,
496,148,452,
497,148,452,
498,148,148,
499,14,14,
500,14,14,
501,148,148,
50962,1519,1519,
503,1537,1537,
504,14,14,
505,14,14,
506,14,814,
507,17,17,
508,85,811,
6280086,0,0,
510,85,85,
511,14,1296,
512,1537,1537,
514,14,14,
515,130,130,
516,1537,1537,
517,215,215,
518,215,215,
519,215,215,
520,17,17,
521,215,215,
522,148,148,
523,14,14,
524,1537,1537,
525,85,85,
526,1537,1537,
527,1537,1537,
528,14,14,
529,130,238,
530,14,14,
531,14,14,
532,17,17,
533,17,17,
534,148,2077,
535,1537,1537,
50961,1638,1640,
537,38,38,
538,38,38,
539,38,38,
540,14,14,
541,130,927,
542,17,17,
50960,1637,1637,
544,1537,1537,
545,1537,1537,
546,38,556,
547,1537,1537,
548,1537,1537,
549,148,454,
550,148,2077,
551,148,148,
552,148,447,
50959,141,702,
50958,141,702,
555,148,148,
556,1537,1537,
557,130,927,
558,1537,1537,
50957,267,272,
560,14,368,
561,14,14,
562,17,17,
43041,3519,3519,
564,14,368,
565,1537,1537,
566,148,2077,
567,1537,1537,
568,14,410,
569,215,215,
570,1537,1537,
571,215,215,
572,130,240,
573,1537,1537,
574,1537,1537,
575,1537,1537,
576,85,810,
577,148,449,
578,38,556,
579,38,556,
501774,0,0,
50956,1638,1640,
582,40,920,
583,215,215,
6280085,0,0,
585,17,17,
586,14,362,
587,130,130,
588,40,920,
589,17,17,
590,1537,1537,
591,14,14,
592,1537,1537,
593,17,17,
594,215,215,
595,215,215,
596,1537,1537,
597,38,38,
598,215,215,
599,215,215,
600,215,215,
602,14,372,
603,1537,1537,
604,17,386,
605,17,386,
606,17,17,
607,38,923,
608,38,923,
609,14,14,
611,1537,1537,
613,1537,1537,
43040,3519,3519,
615,14,14,
616,14,14,
50955,1638,1640,
619,1537,1537,
620,17,1699,
621,1537,1537,
50954,141,702,
623,215,215,
50953,141,702,
625,14,373,
626,14,373,
627,14,372,
628,1537,1537,
42957,130,229,
630,17,387,
631,215,215,
632,17,17,
633,14,374,
634,148,443,
635,1537,1537,
636,1537,1537,
637,14,816,
638,215,820,
50952,141,702,
640,1537,1537,
641,85,811,
642,148,456,
643,215,820,
644,215,397,
645,148,148,
647,215,820,
648,40,111,
50951,1637,1637,
650,17,387,
651,38,38,
652,38,38,
653,38,38,
654,38,38,
655,38,38,
656,38,38,
657,38,38,
658,1537,1537,
659,17,17,
661,14,14,
662,14,14,
663,40,40,
664,1537,1537,
666,1537,1537,
667,148,148,
668,14,816,
670,1537,1537,
671,17,17,
673,1537,1537,
674,1537,1537,
675,1537,1537,
50950,1537,1537,
677,85,810,
191283,148,456,
679,130,927,
680,215,215,
681,17,1699,
682,1537,1537,
683,1537,1537,
684,14,14,
685,14,14,
686,14,14,
687,14,14,
688,14,14,
689,17,383,
690,148,148,
691,148,454,
692,148,2077,
693,1537,1537,
694,1537,1537,
695,215,215,
696,17,17,
697,85,85,
50949,1537,1537,
699,85,811,
700,17,387,
701,1537,1537,
702,215,820,
703,38,38,
704,215,215,
705,17,388,
50948,1537,1537,
707,1537,1537,
50947,1497,1497,
709,38,38,
710,38,38,
711,40,918,
712,38,936,
50946,1497,1497,
714,215,215,
715,215,215,
716,215,215,
717,1537,1537,
719,1537,1537,
720,1537,1537,
721,215,215,
50945,1638,1640,
723,17,1156,
50944,1637,1637,
50943,1537,1537,
50942,1,131,
727,14,14,
728,85,85,
729,17,1156,
730,17,1156,
731,17,1704,
50941,45,320,
50940,3483,3483,
501773,0,0,
735,1537,1537,
736,1537,1537,
737,1537,1537,
50939,1497,1497,
739,148,148,
740,1537,1537,
741,1537,1537,
742,1537,1537,
743,215,820,
744,14,369,
745,14,369,
746,1537,1537,
747,215,215,
748,14,368,
749,1537,1537,
50938,47,307,
752,14,14,
753,14,817,
754,14,14,
755,1537,1537,
43039,3519,3519,
757,85,85,
191282,148,148,
759,215,215,
760,1537,1537,
761,1537,1537,
762,1537,1537,
764,14,1296,
765,14,1296,
766,215,215,
50937,130,130,
768,1537,1537,
769,148,148,
770,38,38,
771,38,38,
772,148,148,
773,1537,1537,
774,215,820,
775,17,17,
50936,267,272,
777,1537,1537,
191281,148,452,
779,1537,1537,
780,1537,1537,
781,14,369,
782,17,17,
191280,148,442,
784,14,367,
785,17,387,
786,1537,1537,
788,12,60,
789,14,816,
790,1537,1537,
792,14,368,
191279,148,442,
794,1537,1537,
795,17,17,
797,1537,1537,
798,1537,1537,
799,14,816,
800,1537,1537,
801,14,14,
803,1537,1537,
804,1537,1537,
805,1537,1537,
806,130,130,
50935,3483,3483,
50934,46,250,
809,14,14,
810,38,924,
50933,12,87,
812,17,17,
814,1537,1537,
815,1537,1537,
816,1537,1537,
817,14,375,
818,14,375,
819,14,14,
820,14,14,
821,1537,1537,
50932,45,321,
501793,0,0,
824,17,17,
825,1,809,
826,1537,1537,
827,1537,1537,
829,1537,1537,
830,215,215,
831,14,14,
832,14,14,
834,215,215,
835,1537,1537,
837,1537,1537,
838,1537,1537,
839,1537,1537,
50930,40,108,
50929,267,267,
501768,0,0,
843,14,816,
844,14,1296,
845,130,238,
50928,405,608,
847,17,1704,
848,1537,1537,
849,14,14,
850,14,816,
851,14,816,
852,17,387,
50927,3519,3519,
855,148,449,
856,1537,1537,
857,38,38,
858,38,936,
860,1537,1537,
50926,3703,3703,
862,1537,1537,
863,14,368,
864,14,368,
50925,1537,1537,
866,1537,1537,
867,1537,1537,
868,215,215,
869,14,14,
870,1537,1537,
871,14,816,
50924,1497,1497,
50923,1637,1637,
50922,17,458,
50921,400,484,
876,148,456,
877,215,360,
878,17,1699,
879,17,17,
880,85,166,
881,38,38,
882,38,38,
883,215,215,
884,38,38,
885,38,38,
886,38,38,
887,38,38,
888,38,38,
889,38,38,
890,38,38,
891,38,38,
892,17,2757,
893,38,38,
50920,38,38,
895,85,164,
896,14,14,
50919,3,340,
50918,4,1438,
50917,10,42,
900,130,238,
901,14,393,
902,38,936,
903,38,936,
904,17,387,
905,17,387,
906,17,387,
907,17,387,
908,17,387,
909,17,387,
910,17,387,
911,14,368,
912,14,368,
913,17,383,
914,85,811,
50916,11,11,
50915,47,348,
917,14,14,
918,17,383,
50914,44,44,
920,1537,1537,
921,1537,1537,
922,1537,1537,
923,14,14,
924,1537,1537,
925,1537,1537,
926,1537,1537,
927,17,17,
928,17,387,
929,14,14,
930,14,14,
931,14,14,
932,215,215,
933,85,85,
934,12,12,
935,17,1699,
50913,3521,3521,
937,85,85,
938,1537,1537,
939,14,374,
940,148,2077,
941,148,148,
942,14,14,
943,14,14,
944,14,14,
945,17,17,
946,17,17,
947,17,17,
948,1537,1537,
949,1537,1537,
950,17,2757,
42992,3519,3519,
50912,3518,3518,
953,215,820,
954,148,444,
955,148,444,
956,148,148,
957,148,148,
958,148,444,
959,148,444,
42991,3519,3519,
50911,3483,3483,
42990,3519,3519,
42989,3519,3519,
50910,8,75,
50909,15,496,
966,14,816,
42988,3519,3519,
501767,0,0,
969,1537,1537,
971,40,109,
972,38,38,
50908,357,357,
974,215,215,
975,215,215,
976,215,215,
50907,405,598,
42987,3519,3519,
979,14,1296,
980,85,85,
981,85,164,
982,14,14,
983,17,387,
984,14,817,
50906,15,15,
50905,148,442,
987,1,809,
50904,331,431,
50903,331,415,
990,14,14,
991,1,809,
992,215,215,
993,130,226,
994,17,387,
995,215,215,
996,14,14,
997,215,215,
998,17,387,
999,85,164,
1000,38,38,
1001,148,2077,
1002,17,387,
1003,14,14,
1004,17,387,
1005,14,363,
1006,14,363,
1007,14,363,
1008,14,816,
1010,1,1,
1011,17,17,
50902,141,186,
1013,17,387,
1014,1,1,
1015,1,1,
1016,1,1,
1017,1,1,
1018,1,1,
1019,215,215,
1020,1,1,
1021,1,1,
1022,1,1,
1023,1,131,
1024,148,452,
1025,130,928,
1026,17,1699,
1027,215,820,
1028,130,130,
1029,1,131,
1030,14,14,
1031,1,2102,
1032,14,14,
1033,1,2102,
1034,17,17,
1035,130,172,
1036,1,2102,
1037,1,2102,
1038,1,2102,
1039,17,387,
1040,17,17,
1041,1,2102,
1042,130,927,
1044,1,2102,
1045,1,2102,
1047,148,148,
50901,406,460,
1049,215,223,
1050,130,130,
1051,17,387,
1052,38,38,
1053,38,38,
1054,38,38,
1055,38,38,
1056,1,2102,
1057,1,2102,
1058,215,215,
1059,1,2102,
1061,1,2102,
1062,1,2102,
1063,38,38,
1064,38,38,
1065,38,38,
1066,38,38,
1067,215,215,
47542,406,464,
1070,215,821,
1071,1,2102,
1072,1,2102,
1073,1,2102,
1074,1,131,
1075,1,2102,
1077,1,2102,
1078,17,388,
1079,14,817,
1080,14,14,
1081,1,2102,
1082,17,17,
1084,1,131,
1085,17,383,
1086,17,383,
1087,17,383,
1088,14,14,
1089,17,383,
1090,14,14,
1091,1,131,
1092,14,14,
1093,38,144,
1094,1,131,
1095,38,38,
1096,85,811,
1097,130,227,
1098,1,131,
1099,148,449,
1100,17,387,
1101,215,215,
1102,85,812,
1103,85,810,
1104,1,131,
1105,14,1296,
1106,17,17,
1107,17,387,
1108,85,811,
1109,1,131,
1110,1,131,
47532,406,464,
1112,1,131,
1113,14,368,
1114,1,131,
1115,14,816,
1116,14,816,
1117,85,85,
1118,1,131,
1119,1,131,
1120,1,131,
1121,1,131,
1122,1,131,
1123,215,215,
50900,3703,3703,
1125,1,131,
1126,1,131,
1127,1,2102,
1128,130,130,
1129,215,215,
1130,17,388,
1131,17,17,
1132,130,928,
1133,148,148,
1134,130,130,
1135,215,820,
1136,1,2102,
1137,14,816,
1138,17,2757,
1139,148,452,
1140,1,131,
1141,14,816,
1142,14,362,
1143,40,922,
1144,1,2102,
1146,17,387,
1147,14,373,
1148,215,215,
1149,14,372,
1150,14,372,
1151,38,149,
1152,85,85,
1153,14,1296,
1154,1,131,
1155,1,136,
1156,14,14,
1157,1,1,
1158,38,38,
1159,38,38,
73500,1,136,
1161,38,38,
1162,1,1,
1163,1,1,
1164,85,159,
1165,1,1,
1166,17,17,
1167,85,152,
1168,17,17,
