--uniqueID,zoneID,areaID,
99863,267,272,
30054,36,1684,
99864,17,1701,
92073,8,300,
92071,8,300,
190157,3557,3557,
136298,11,11,
138659,357,1119,
136297,11,11,
47590,406,468,
138658,357,1108,
138407,361,361,
47589,406,468,
47588,406,467,
138406,361,361,
136296,11,11,
92289,8,74,
19,1537,1537,
5550065,3789,3789,
88511,8,74,
5550064,3789,3789,
30381,8,74,
31036,8,74,
26,1537,1537,
27,1537,1537,
30740,8,8,
30635,8,74,
70581,4,1457,
57168,139,139,
137495,148,2078,
91798,8,74,
91800,8,74,
89094,8,74,
88523,8,74,
88512,8,74,
138405,361,361,
607,85,162,
5305843,3524,3524,
138657,357,2522,
138404,361,361,
138403,361,361,
45,1537,1537,
47,1537,1537,
49,1537,1537,
51,1537,1537,
52,1537,1537,
53,1537,1537,
54,1537,1537,
56,1537,1537,
58,1537,1537,
60,1537,1537,
137924,405,607,
138402,361,1764,
136295,11,11,
136294,11,1020,
136293,11,11,
137923,405,607,
138656,357,1137,
30986,8,300,
92072,8,300,
92074,8,300,
92077,8,300,
191837,8,116,
92075,8,300,
92076,8,300,
91799,8,74,
88518,8,74,
47587,406,469,
79,3525,3906,
30050,36,284,
30041,36,284,
47586,406,460,
162035,3521,3659,
162034,3521,3659,
130856,45,317,
30037,36,284,
30036,267,286,
92,1537,1537,
94,1537,1537,
95,1537,1537,
50965,1638,1640,
31040,8,74,
30601,8,300,
30586,8,300,
30033,267,1056,
30032,267,290,
30031,267,272,
30028,267,290,
139994,17,1156,
138655,357,1137,
170389,33,104,
110,1537,1537,
112,1537,1537,
114,1537,1537,
116,1537,1537,
117,1537,1537,
118,1537,1537,
119,1537,1537,
120,1537,1537,
121,1537,1537,
122,1537,1537,
123,1537,1537,
124,1537,1537,
125,1537,1537,
30606,8,300,
140230,45,318,
140231,45,318,
140232,45,318,
140240,45,318,
140241,45,318,
140601,45,45,
70447,45,318,
70446,45,318,
70445,45,318,
300332,141,264,
300333,141,264,
140602,45,45,
70432,45,318,
70431,45,318,
70430,45,318,
140603,45,45,
70422,45,318,
70421,45,318,
70420,45,318,
190937,3521,3565,
190938,3703,3703,
190939,3703,3898,
190940,3522,3951,
190941,3523,3712,
190902,406,460,
190903,400,484,
190904,405,2408,
190905,15,496,
190906,357,1099,
190907,17,392,
190908,15,4010,
190909,440,976,
190910,618,2255,
190911,1377,3425,
190912,3524,3576,
190913,3557,3557,
190914,3525,3584,
190915,3483,3538,
190916,3483,3552,
140242,45,318,
140250,45,318,
140251,45,318,
140252,45,318,
7000,1377,3425,
7001,1377,3425,
7002,1377,3425,
190899,17,380,
190900,17,378,
190901,331,431,
190917,3521,3644,
190918,3521,3766,
190919,3519,3684,
190920,3518,3626,
190921,3522,3772,
190922,3522,3918,
190923,3520,3745,
190924,3430,3665,
190925,3430,3462,
190926,3487,3487,
140582,45,324,
70561,45,328,
70560,45,328,
140650,45,313,
70557,45,328,
140583,45,324,
70549,45,1858,
70548,45,1858,
140651,45,45,
70545,45,1858,
140584,45,324,
70537,45,45,
70536,45,45,
140652,45,334,
70533,45,45,
140590,45,328,
70531,45,45,
70530,45,45,
140653,45,1858,
70527,45,45,
140591,45,328,
351,1537,1537,
352,1537,1537,
70525,45,45,
70524,45,45,
140660,45,45,
70521,45,45,
140592,45,327,
70519,45,328,
70518,45,328,
140661,45,45,
70515,45,328,
140593,45,328,
138654,357,1108,
139557,141,259,
30018,267,275,
139556,141,141,
171132,11,1022,
171131,11,1024,
171130,11,1022,
171129,11,1022,
171128,11,1024,
139826,17,391,
47585,406,467,
47584,406,460,
47583,406,467,
47582,406,460,
47581,406,467,
44861,85,2119,
44859,85,2119,
44858,85,2119,
44857,85,2119,
44856,85,2119,
44855,85,2119,
44853,85,2119,
44851,85,2119,
44850,85,2119,
44849,85,2119,
139825,17,17,
139824,17,17,
137922,405,2408,
139823,17,391,
29995,267,286,
29994,267,286,
423,1537,1537,
47580,406,460,
47579,406,467,
30604,8,300,
99875,47,353,
62645,8,76,
30582,8,74,
57117,85,152,
431,1537,1537,
30580,8,74,
433,1537,1537,
44848,85,2119,
140973,267,289,
86373,17,1156,
198711,490,538,
191275,148,2077,
140972,267,289,
140971,267,289,
198710,490,538,
457,1537,1537,
135549,28,200,
135548,28,28,
135547,28,28,
461,1537,1537,
135546,28,200,
463,1537,1537,
464,1537,1537,
198709,490,538,
135545,28,198,
135544,28,199,
63605,139,2622,
198708,490,538,
135542,28,192,
63599,28,190,
198707,490,538,
135540,28,28,
474,1537,1537,
63594,16,1234,
182520,3483,3793,
135537,28,199,
135536,28,199,
50964,1637,1637,
480,1537,1537,
481,1537,1537,
135535,28,193,
135534,28,28,
135533,28,190,
50963,1637,1637,
135532,28,193,
135531,28,199,
135530,28,192,
135529,28,202,
135528,28,193,
198706,490,1942,
135527,28,200,
135526,28,28,
135525,28,193,
135524,28,193,
135523,28,193,
135522,28,197,
135521,28,202,
135520,28,813,
135519,28,193,
50962,1519,1519,
503,1537,1537,
135518,28,28,
135517,28,813,
135516,28,28,
135515,28,199,
198705,490,490,
5300261,4080,4080,
198704,490,539,
135514,28,193,
512,1537,1537,
135513,28,193,
198703,490,539,
516,1537,1537,
61994,28,193,
135511,28,197,
135510,28,28,
135509,28,201,
135508,28,197,
135507,28,28,
135506,28,192,
524,1537,1537,
198702,490,490,
526,1537,1537,
527,1537,1537,
135505,28,28,
198701,490,490,
135504,28,197,
135503,28,197,
135502,28,813,
135501,28,193,
135500,28,193,
535,1537,1537,
50961,1638,1640,
198700,490,538,
198699,490,490,
198698,490,539,
135499,28,28,
198697,490,490,
135498,28,193,
50960,1637,1637,
544,1537,1537,
545,1537,1537,
198696,490,490,
547,1537,1537,
548,1537,1537,
135497,28,197,
135496,28,813,
135495,28,28,
135494,28,199,
50959,141,702,
50958,141,702,
135493,28,28,
556,1537,1537,
86089,139,139,
558,1537,1537,
50957,267,272,
135492,28,200,
61988,28,193,
135490,28,200,
115825,12,87,
135489,28,193,
565,1537,1537,
135488,28,197,
567,1537,1537,
135487,28,197,
135486,28,196,
570,1537,1537,
135485,28,28,
198694,490,490,
573,1537,1537,
574,1537,1537,
575,1537,1537,
198693,490,490,
135484,28,813,
198692,490,538,
198691,490,538,
170112,331,411,
50956,1638,1640,
86098,47,47,
135483,28,28,
5550063,3789,3789,
135482,28,28,
135481,28,193,
198689,490,490,
198688,490,490,
135480,28,193,
590,1537,1537,
135479,28,28,
592,1537,1537,
135478,28,197,
135477,28,193,
135476,28,199,
596,1537,1537,
198687,490,490,
135475,28,202,
135474,28,197,
135473,28,193,
64075,33,311,
603,1537,1537,
64027,16,16,
64029,8,8,
64033,8,1798,
141400,1377,1377,
86093,357,1136,
64036,33,1577,
611,1537,1537,
613,1537,1537,
115824,12,87,
64034,33,1577,
64021,15,510,
50955,1638,1640,
619,1537,1537,
64026,15,502,
621,1537,1537,
50954,141,702,
5558,33,102,
50953,141,702,
65326,45,45,
64023,33,33,
65323,15,15,
628,1537,1537,
42957,130,229,
64022,33,102,
64002,33,102,
64003,33,1577,
135457,85,152,
135456,85,168,
635,1537,1537,
636,1537,1537,
5306723,3430,3480,
63291,12,797,
50952,141,702,
640,1537,1537,
198684,490,490,
135453,85,85,
135452,85,85,
5305788,3524,3916,
5306909,3433,3433,
5306908,3433,3433,
198683,490,490,
50951,1637,1637,
5305787,3524,3524,
198682,490,490,
198681,490,539,
64897,47,47,
86095,47,47,
9980,51,51,
87270,11,1025,
87273,331,331,
658,1537,1537,
5305786,3524,3524,
5305842,3524,3524,
5305841,3524,3524,
198675,400,483,
664,1537,1537,
666,1537,1537,
5307162,3433,3433,
5305840,3524,3916,
670,1537,1537,
5305839,3524,3916,
673,1537,1537,
674,1537,1537,
675,1537,1537,
50950,1537,1537,
198674,400,2240,
191274,148,2078,
198673,400,2303,
135441,85,85,
135440,85,85,
682,1537,1537,
683,1537,1537,
61984,28,192,
61989,28,202,
63294,40,2,
135436,85,160,
135435,85,812,
135434,85,85,
135433,85,85,
135432,85,173,
135431,85,812,
693,1537,1537,
694,1537,1537,
135430,85,157,
135429,85,85,
198672,400,2240,
50949,1537,1537,
198671,400,400,
135428,85,167,
701,1537,1537,
135427,85,152,
198670,400,439,
135426,85,85,
135425,85,85,
50948,1537,1537,
707,1537,1537,
50947,1497,1497,
198669,400,2240,
198668,400,439,
198667,400,483,
86324,15,2302,
50946,1497,1497,
63295,1,804,
135423,85,85,
135422,85,164,
717,1537,1537,
719,1537,1537,
720,1537,1537,
135421,85,157,
50945,1638,1640,
135420,85,169,
50944,1637,1637,
50943,1537,1537,
50942,1,131,
135419,85,85,
198665,400,400,
135418,85,157,
63288,12,797,
135416,85,85,
162190,3521,3653,
50940,3483,3483,
170374,33,104,
735,1537,1537,
736,1537,1537,
737,1537,1537,
50939,1497,1497,
135415,85,167,
740,1537,1537,
741,1537,1537,
742,1537,1537,
135414,85,812,
135413,85,459,
135412,85,157,
746,1537,1537,
135411,85,85,
135410,85,459,
749,1537,1537,
50938,47,307,
135409,85,157,
135408,85,167,
135407,85,85,
755,1537,1537,
115823,12,87,
198664,400,2240,
191273,148,2078,
135406,85,161,
760,1537,1537,
761,1537,1537,
762,1537,1537,
135405,85,811,
63297,44,44,
135403,85,157,
50937,130,130,
768,1537,1537,
9804,1638,1638,
86328,33,297,
198662,400,400,
135401,85,157,
773,1537,1537,
135400,85,85,
135399,85,811,
50936,267,272,
777,1537,1537,
191272,148,2077,
779,1537,1537,
780,1537,1537,
135398,85,459,
135397,85,159,
191271,148,2078,
135396,85,810,
135395,85,164,
786,1537,1537,
198661,400,400,
135394,85,85,
790,1537,1537,
135393,85,810,
191270,148,450,
794,1537,1537,
135392,85,85,
797,1537,1537,
798,1537,1537,
135391,85,810,
800,1537,1537,
135390,85,85,
803,1537,1537,
804,1537,1537,
805,1537,1537,
86327,10,242,
50935,3483,3483,
50934,46,250,
135389,85,85,
198659,400,439,
50933,12,87,
135388,85,810,
814,1537,1537,
815,1537,1537,
816,1537,1537,
135387,85,85,
5305785,3524,3566,
135385,85,85,
135384,85,157,
821,1537,1537,
50932,45,321,
50931,45,320,
135383,85,810,
825,1,809,
826,1537,1537,
827,1537,1537,
829,1537,1537,
135382,85,85,
87071,14,14,
135380,85,165,
135379,85,812,
835,1537,1537,
837,1537,1537,
838,1537,1537,
839,1537,1537,
50930,40,108,
50929,267,267,
170111,331,411,
135378,85,85,
135377,85,85,
198658,400,400,
50928,405,608,
135376,85,85,
848,1537,1537,
5306907,3433,3433,
135374,85,157,
135373,85,85,
5306906,3433,3433,
50927,3519,3519,
135371,85,162,
856,1537,1537,
198657,400,482,
198656,400,400,
860,1537,1537,
50926,3703,3703,
862,1537,1537,
135370,85,157,
135369,85,85,
50925,1537,1537,
866,1537,1537,
867,1537,1537,
135368,85,85,
135367,85,85,
870,1537,1537,
5306905,3433,3433,
50924,1497,1497,
50923,1637,1637,
50922,17,458,
50921,400,484,
135365,85,85,
135364,85,85,
87208,215,404,
87633,130,130,
198655,400,482,
198654,400,482,
198653,400,482,
135361,85,85,
198652,400,400,
198651,400,439,
198650,400,439,
198649,400,482,
198648,400,480,
198647,400,480,
198646,400,2303,
87336,8,8,
5306904,3433,3433,
87276,406,465,
50920,38,38,
198643,400,482,
135359,85,157,
50919,3,340,
50918,4,1438,
50917,10,42,
198642,400,400,
5306903,3433,3499,
198641,400,2303,
198640,400,400,
135357,85,85,
135356,85,157,
5306902,3433,3516,
135354,85,166,
135353,85,811,
135352,85,157,
135351,85,85,
135350,85,162,
135349,85,85,
5306901,3433,3433,
198639,400,400,
50916,11,11,
50915,47,348,
87204,85,85,
5306814,3430,3467,
50914,44,44,
920,1537,1537,
921,1537,1537,
922,1537,1537,
135345,85,164,
924,1537,1537,
925,1537,1537,
926,1537,1537,
135344,85,157,
135343,85,157,
135342,85,811,
135341,85,810,
135340,85,85,
135339,85,85,
198638,400,2240,
198637,400,439,
135338,85,85,
50913,3521,3521,
198636,400,400,
938,1537,1537,
5306813,3430,3465,
135336,85,85,
135335,85,810,
5306171,3525,3601,
135333,85,810,
135332,85,811,
135331,85,157,
135330,85,85,
87207,130,927,
948,1537,1537,
949,1537,1537,
135328,85,85,
115822,12,12,
50912,3518,3518,
135327,85,812,
5305784,3524,3566,
135325,85,85,
135324,85,157,
135323,85,459,
5305783,3524,3524,
135321,85,85,
115821,12,87,
50911,3483,3483,
115820,12,87,
115819,12,12,
50910,8,75,
50909,15,496,
135320,85,85,
115818,12,87,
170373,33,104,
969,1537,1537,
198635,400,400,
198634,400,2097,
50908,357,357,
135319,85,810,
135318,85,812,
135317,85,85,
50907,405,598,
115817,12,87,
135316,85,811,
198633,400,483,
198632,400,400,
135315,85,85,
135314,85,811,
135313,85,85,
50906,15,15,
50905,148,442,
987,1,809,
50904,331,431,
50903,331,415,
135312,85,811,
991,1,809,
135311,85,85,
198631,400,439,
135310,85,85,
135309,85,85,
5307161,3433,3517,
135307,85,173,
135306,85,85,
198630,400,400,
198629,400,482,
135305,85,165,
135304,85,85,
5305838,3524,3916,
5305837,3524,3524,
135301,85,85,
5305836,3524,3524,
135299,85,85,
135298,85,85,
1010,1,1,
135297,85,164,
50902,141,186,
135296,85,811,
1014,1,1,
1015,1,1,
1016,1,1,
1017,1,1,
198628,400,400,
135295,85,166,
198627,400,400,
1021,1,1,
1022,1,1,
1023,1,131,
135294,85,157,
198626,400,2303,
5307160,3433,3517,
135292,85,157,
198625,400,483,
1029,1,131,
135291,85,152,
1031,1,2102,
135290,85,164,
1033,1,2102,
135289,85,159,
87277,331,331,
1036,1,2102,
1037,1,2102,
1038,1,2102,
5305835,3524,3524,
5305834,3524,3524,
1041,1,2102,
198623,400,483,
1044,1,2102,
1045,1,2102,
87274,405,598,
135286,85,85,
50901,406,460,
135285,85,85,
198621,400,400,
135284,85,85,
198620,400,400,
198619,400,482,
87275,406,465,
198617,400,2097,
1056,1,2102,
1057,1,2102,
135283,85,85,
1059,1,2102,
1061,1,2102,
1062,1,2102,
198616,400,400,
198615,400,2303,
198614,400,400,
198613,400,481,
5305833,3524,3524,
47542,406,464,
5305832,3524,3524,
1071,1,2102,
1072,1,131,
1073,1,2102,
1074,1,131,
1075,1,2102,
1077,1,2102,
135280,85,85,
135279,85,85,
135278,85,85,
1081,1,2102,
135277,85,812,
1084,1,131,
135276,85,164,
135275,85,811,
135274,85,166,
5305831,3524,3524,
5305830,3524,3524,
135271,85,85,
1091,1,131,
135270,85,85,
198612,400,439,
1094,1,131,
198611,400,400,
198610,400,400,
198609,400,400,
1098,1,131,
135269,85,811,
135268,85,164,
5305829,3524,3524,
198608,400,400,
198607,400,481,
1104,1,131,
135266,85,811,
5305828,3524,3524,
135264,85,810,
198606,400,481,
1109,1,131,
1110,1,131,
47532,406,464,
1112,1,131,
135263,85,811,
1114,1,131,
135262,85,812,
135261,85,459,
63343,406,469,
1118,1,131,
1119,1,131,
1120,1,131,
1121,1,131,
1122,1,131,
135260,85,156,
50900,3703,3703,
1125,1,131,
1126,1,131,
1127,1,2102,
198604,400,400,
135259,85,85,
135258,85,164,
135257,85,162,
198603,400,479,
5305827,3524,3524,
198602,400,400,
135255,85,85,
1136,1,2102,
135254,85,159,
135253,85,810,
135252,85,810,
1140,1,131,
135251,85,811,
135250,85,165,
198601,400,439,
1144,1,2102,
135249,85,85,
135248,85,159,
135247,85,811,
135246,85,85,
135245,85,159,
198600,400,400,
63347,40,920,
135244,85,85,
1154,1,131,
198598,400,479,
5306253,3525,3592,
198154,17,1156,
198597,400,439,
198596,400,400,
198595,400,479,
198153,17,17,
87251,406,465,
198594,400,400,
198362,17,1156,
135242,85,85,
198593,400,439,
135241,85,157,
135240,85,157,
135239,85,85,
135238,85,810,
198592,400,2097,
1173,1,1,
1175,1,1,
198152,17,17,
198591,400,400,
135237,47,1884,
198590,400,400,
135236,47,355,
198589,400,400,
135235,47,352,
198588,400,483,
63359,10,10,
198586,400,439,
135234,47,47,
198585,400,480,
50899,3483,3483,
198584,400,2240,
1190,1,800,
1191,1,800,
63560,47,356,
135232,47,356,
1194,1,132,
1195,1,132,
198583,400,439,
135231,47,1887,
135230,47,307,
135229,47,307,
198582,400,439,
135228,47,1883,
1202,1,132,
1203,1,132,
1205,1,132,
1206,1,132,
1207,1,132,
1208,1,132,
198581,400,439,
1210,1,132,
1212,1,132,
182822,3521,3521,
1214,1,132,
1216,1,132,
1217,1,132,
135226,47,47,
198580,400,479,
1220,1,132,
135225,47,47,
47515,406,464,
1223,1,132,
135224,47,47,
135223,47,307,
1226,1,132,
198579,400,481,
135222,47,47,
198578,400,480,
135221,47,353,
135220,47,47,
182821,3521,3521,
135218,47,47,
135217,47,47,
1235,1,132,
1236,1,132,
1237,1,132,
198577,400,400,
1239,1,132,
1240,1,132,
198576,400,400,
198575,400,400,
198574,400,400,
47514,406,464,
135216,47,1883,
135215,47,47,
135214,47,47,
198573,400,400,
135213,47,353,
1251,1,132,
1252,1,132,
135212,47,47,
135211,47,47,
135210,47,355,
135209,47,47,
135208,47,355,
135207,47,307,
142290,47,354,
198572,400,2303,
198571,400,439,
142291,47,354,
1263,1,132,
142292,47,354,
142293,47,354,
1266,1,132,
142294,47,354,
141280,4,72,
141281,4,72,
141282,4,72,
141283,4,72,
141284,4,72,
141285,4,72,
141290,4,72,
141291,4,72,
141292,4,72,
141293,4,72,
141294,4,72,
141295,4,72,
141300,4,4,
141301,4,1439,
141302,4,4,
141303,4,4,
141304,4,4,
141305,4,4,
141310,4,4,
141311,4,4,
141312,4,1441,
141313,4,1441,
141314,4,1441,
141320,4,2517,
141321,4,4,
141322,4,4,
141323,4,4,
141324,4,1440,
141050,4,1437,
141051,4,1437,
141052,4,4,
