--uniqueID,zoneID,areaID,
7318#1#0,141,736,
7318#2#0,141,736,
7318#3#0,141,736,
7318#4#0,141,736,
7318#5#0,141,736,
16666#6#0,3430,3482,
16666#5#0,3487,3487,
16666#4#0,3487,3487,
16666#3#0,3487,3487,
16666#2#0,3487,3487,
16666#1#0,3487,3487,
19882#9#0,3430,3430,
19882#8#0,3430,3430,
19882#7#0,3430,3430,
19882#6#0,3430,3430,
19882#5#0,3430,3430,
19882#4#0,3430,3430,
19882#3#0,3430,3430,
19882#2#0,3430,3430,
19882#1#0,3430,3430,
16924#3#0,3430,3665,
16924#2#0,3430,3665,
16924#1#0,3430,3665,
19882#30#0,3430,3430,
19882#29#0,3430,3430,
19882#28#0,3430,3430,
19882#27#0,3430,3430,
19882#26#0,3430,3430,
19882#25#0,3430,3430,
19882#24#0,3430,3430,
19882#23#0,3430,3430,
19882#22#0,3430,3430,
17711#1#0,3520,3520,
17711#2#0,3520,3520,
17711#3#0,3520,3520,
17711#4#0,3520,3520,
17711#5#0,3520,3520,
17711#6#0,3520,3520,
17711#7#0,3520,3520,
391#38#0,40,2,
391#39#0,40,2,
391#40#0,40,2,
391#41#0,40,2,
391#42#0,40,2,
391#43#0,40,2,
391#44#0,40,2,
391#45#0,40,2,
391#46#0,40,2,
391#47#0,40,2,
391#48#0,40,2,
391#49#0,40,2,
391#50#0,40,2,
391#51#0,40,2,
391#52#0,40,2,
391#53#0,40,2,
391#54#0,40,2,
391#55#0,40,2,
391#56#0,40,2,
391#57#0,40,2,
391#58#0,40,2,
468#1#0,10,42,
468#2#0,10,42,
468#3#0,10,42,
468#4#0,10,42,
468#5#0,10,42,
468#6#0,10,42,
468#7#0,10,42,
468#8#0,10,42,
468#9#0,10,42,
468#10#0,10,42,
468#11#0,10,42,
468#12#0,10,42,
468#13#0,10,42,
468#14#0,10,42,
468#15#0,10,42,
468#16#0,10,42,
468#17#0,10,42,
468#18#0,10,42,
468#19#0,10,42,
468#20#0,10,42,
489#1#0,40,108,
489#2#0,40,108,
489#3#0,40,108,
489#4#0,40,108,
489#5#0,40,108,
489#6#0,40,108,
489#7#0,40,108,
489#8#0,40,108,
489#9#0,40,108,
840#15#0,10,10,
840#14#0,10,10,
840#13#0,10,10,
840#12#0,10,10,
840#11#0,10,10,
797#1#0,12,87,
797#2#0,12,87,
797#3#0,12,87,
797#4#0,12,87,
797#5#0,12,87,
797#6#0,12,87,
797#7#0,12,87,
797#8#0,12,87,
797#9#0,12,87,
797#10#0,12,87,
797#11#0,12,87,
797#12#0,12,87,
797#13#0,12,87,
797#14#0,12,87,
797#15#0,12,87,
797#16#0,12,87,
797#17#0,12,87,
797#18#0,12,87,
797#19#0,12,87,
797#20#0,12,87,
797#21#0,12,87,
797#22#0,12,87,
797#23#0,12,87,
797#24#0,12,87,
797#25#0,12,87,
797#26#0,12,87,
797#27#0,12,87,
797#28#0,12,87,
797#29#0,12,87,
797#30#0,12,87,
797#31#0,12,87,
840#10#0,10,10,
840#9#0,10,10,
840#8#0,10,10,
840#7#0,10,42,
840#6#0,10,42,
840#5#0,10,42,
840#4#0,10,42,
840#3#0,10,42,
840#2#0,10,42,
840#1#0,10,42,
848#11#0,44,69,
848#12#0,44,69,
848#13#0,44,69,
848#14#0,44,69,
848#15#0,44,69,
848#16#0,44,69,
848#17#0,44,68,
777#1#0,44,69,
777#2#0,44,69,
849#11#0,44,68,
849#12#0,44,68,
849#13#0,44,68,
849#14#0,44,68,
849#15#0,44,68,
849#16#0,44,68,
849#17#0,44,69,
849#18#0,44,69,
849#19#0,44,69,
16856#6#0,3483,3538,
16856#5#0,3483,3538,
16856#4#0,3483,3538,
16856#3#0,3483,3538,
16856#2#0,3483,3538,
16856#1#0,3483,3538,
874#54#0,40,108,
874#53#0,40,108,
874#52#0,40,108,
874#51#0,40,108,
874#50#0,40,108,
